Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488424622,1.34,16,0.00,8896.00,0.00,64.00
1488424623,1.25,17,0.00,7712.00,0.00,69.00
1488424624,1.27,16,0.01,7096.00,0.00,52.00
1488424625,1.39,17,0.01,8120.00,0.00,79.00
1488424626,1.36,16,0.01,7340.00,0.00,62.00
1488424627,1.25,16,0.01,6520.00,0.00,93.00
1488424628,1.30,16,0.01,7316.00,0.00,72.00
1488424629,1.39,16,0.01,8536.00,0.00,73.00
1488424630,1.25,17,0.01,7208.00,0.00,56.00
1488424631,1.27,17,0.01,7772.00,0.00,63.00
1488424632,1.41,16,0.01,8068.00,0.00,74.00
1488424633,1.32,16,0.01,8596.00,0.00,66.00
1488424634,1.36,16,0.01,6564.00,0.00,82.00
1488424635,1.27,17,0.02,8456.00,0.00,69.00
1488424636,1.43,16,0.01,7452.00,0.00,59.00
1488424637,1.32,17,0.02,7308.00,0.00,73.00
1488424638,1.34,16,0.02,7372.00,0.00,69.00
1488424639,1.30,16,0.02,7696.00,0.00,85.00
1488424640,1.41,16,0.02,7400.00,0.00,85.00
1488424641,1.25,16,0.02,8464.00,0.00,60.00
1488424642,1.27,17,0.02,6824.00,0.00,64.00
1488424643,1.32,16,0.02,5236.00,0.00,85.00
1488424644,1.27,16,0.02,8972.00,0.00,75.00
1488424645,1.30,16,0.02,7336.00,0.00,87.00
1488424646,1.23,16,0.02,7864.00,0.00,65.00
1488424647,1.30,16,0.03,8048.00,0.00,70.00
1488424648,1.30,16,0.03,6628.00,0.00,38.00
1488424649,1.32,17,0.03,9716.00,0.00,64.00
1488424650,1.30,16,0.03,7472.00,0.00,67.00
1488424651,1.32,17,0.03,8084.00,0.00,82.00
1488424652,1.41,17,0.03,6332.00,0.00,60.00
1488424653,1.32,17,0.03,6568.00,0.00,77.00
1488424654,1.34,16,0.03,5848.00,0.00,58.00
1488424655,1.46,16,0.03,5852.00,0.00,88.00
1488424656,1.39,17,0.03,5960.00,0.00,72.00
1488424657,1.41,17,0.03,6676.00,0.00,79.00
1488424658,1.36,16,0.03,7540.00,0.00,69.00
1488424659,1.41,17,0.03,8776.00,0.00,75.00
1488424660,1.30,17,0.03,7780.00,0.00,62.00
1488424661,1.43,16,0.04,6180.00,0.00,93.00
1488424662,1.36,17,0.04,8512.00,0.00,72.00
1488424663,1.43,17,0.04,8796.00,0.00,80.00
1488424664,1.39,17,0.04,6876.00,0.00,93.00
1488424665,1.45,16,0.04,6252.00,0.00,71.00
1488424666,1.36,16,0.04,7836.00,0.00,72.00
1488424667,0.93,16,0.19,3364.00,0.00,25.00
1488424668,2.05,17,0.20,64.00,0.00,1.00
1488424669,1.95,16,0.20,100.00,0.00,0.00
1488424670,1.93,16,0.21,76.00,0.00,0.00
1488424671,2.00,16,0.21,68.00,0.00,0.00
1488424672,1.93,16,0.21,88.00,0.00,0.00
1488424673,1.93,16,0.21,96.00,0.00,0.00
1488424674,1.98,16,0.21,88.00,0.00,0.00
1488424675,2.00,16,0.22,84.00,0.00,0.00
1488424676,1.95,16,0.22,96.00,0.00,0.00
1488424677,2.02,16,0.22,92.00,0.00,0.00
1488424678,1.91,16,0.22,84.00,0.00,0.00
1488424679,1.95,17,0.22,80.00,0.00,0.00
1488424680,1.95,16,0.23,76.00,0.00,0.00
1488424681,1.98,17,0.23,80.00,0.00,0.00
1488424682,1.91,16,0.23,80.00,0.00,0.00
1488424683,2.00,16,0.23,76.00,0.00,0.00
1488424684,1.91,17,0.23,68.00,0.00,0.00
1488424685,1.89,16,0.23,68.00,0.00,0.00
1488424686,1.93,17,0.24,72.00,0.00,0.00
1488424687,1.95,16,0.24,72.00,0.00,0.00
1488424688,1.91,16,0.24,80.00,0.00,0.00
1488424689,1.95,16,0.24,64.00,0.00,1.00
1488424690,1.89,16,0.24,68.00,0.00,1.00
1488424691,1.95,16,0.25,68.00,0.00,0.00
1488424692,1.91,16,0.25,76.00,0.00,0.00
1488424693,1.96,16,0.25,64.00,0.00,0.00
1488424694,1.95,16,0.25,72.00,0.00,0.00
1488424695,2.00,16,0.25,76.00,0.00,0.00
1488424696,1.93,17,0.26,76.00,0.00,0.00
1488424697,1.93,16,0.26,80.00,0.00,0.00
1488424698,2.02,16,0.26,92.00,0.00,0.00
1488424699,1.91,16,0.26,92.00,0.00,0.00
1488424700,1.98,17,0.26,84.00,0.00,0.00
1488424701,1.95,16,0.27,72.00,0.00,1.00
1488424702,1.91,16,0.27,80.00,0.00,0.00
1488424703,1.95,16,0.27,92.00,0.00,0.00
1488424704,1.93,16,0.27,64.00,0.00,0.00
1488424705,1.95,17,0.27,76.00,0.00,0.00
1488424706,1.93,16,0.27,80.00,0.00,0.00
1488424707,2.09,16,0.28,48.00,0.00,1.00
1488424708,2.25,17,0.28,8.00,3288.00,18.00
1488424709,2.30,17,0.28,0.00,3992.00,20.00
1488424710,2.25,17,0.28,0.00,2972.00,0.00
1488424711,2.27,17,0.28,0.00,0.00,0.00
1488424712,2.30,17,0.28,0.00,2192.00,0.00
1488424713,2.25,17,0.28,0.00,3744.00,32.00
1488424714,2.27,17,0.28,0.00,4500.00,6.00
1488424715,2.27,17,0.28,0.00,72.00,0.00
1488424716,2.30,17,0.28,0.00,0.00,0.00
1488424717,2.25,17,0.28,0.00,2464.00,0.00
1488424718,2.27,17,0.28,0.00,3788.00,32.00
1488424719,2.27,17,0.28,0.00,4240.00,3.00
1488424720,2.27,17,0.28,3328.00,0.00,0.00
1488424721,2.27,17,0.28,2944.00,2308.00,0.00
1488424722,2.27,17,0.28,0.00,3704.00,34.00
1488424723,2.27,17,0.28,384.00,4332.00,5.00
1488424724,2.27,17,0.28,5888.00,0.00,0.00
1488424725,2.27,17,0.28,10240.00,0.00,1.00
1488424726,2.27,17,0.28,1920.00,3108.00,7.00
1488424727,2.27,17,0.28,0.00,3896.00,34.00
1488424728,2.27,17,0.28,3712.00,3296.00,1.00
1488424729,2.27,17,0.28,16256.00,0.00,1.00
1488424730,2.27,17,0.28,9344.00,1592.00,1.00
1488424731,2.27,17,0.28,0.00,3712.00,37.00
1488424732,2.27,17,0.28,0.00,4052.00,2.00
1488424733,2.27,17,0.28,12672.00,1004.00,0.00
1488424734,2.25,17,0.28,19072.00,0.00,0.00
1488424735,2.30,17,0.28,3328.00,3028.00,0.00
1488424736,2.25,17,0.28,0.00,3656.00,42.00
1488424737,2.30,17,0.28,4480.00,3488.00,0.00
1488424738,2.27,17,0.28,13312.00,0.00,1.00
1488424739,2.27,17,0.28,5248.00,1684.00,0.00
1488424740,2.27,17,0.28,0.00,4040.00,30.00
1488424741,2.27,17,0.28,0.00,4128.00,3.00
1488424742,2.27,17,0.28,7296.00,1048.00,0.00
1488424743,2.27,17,0.28,4224.00,0.00,0.00
1488424744,2.27,17,0.28,512.00,2752.00,1.00
1488424745,2.27,17,0.28,0.00,3892.00,31.00
1488424746,2.27,17,0.28,384.00,4052.00,2.00
1488424747,2.27,17,0.28,1152.00,0.00,0.00
1488424748,2.27,17,0.28,384.00,1068.00,0.00
1488424749,2.27,17,0.28,0.00,3744.00,28.00
1488424750,2.27,17,0.28,0.00,4176.00,3.00
1488424751,2.25,17,0.28,128.00,1920.00,0.00
1488424752,2.30,17,0.28,640.00,0.00,1.00
1488424753,2.27,17,0.28,0.00,2524.00,0.00
1488424754,2.25,17,0.28,0.00,3748.00,34.00
1488424755,2.30,17,0.28,384.00,4044.00,3.00
1488424756,2.27,17,0.28,640.00,0.00,0.00
1488424757,2.27,17,0.28,128.00,1140.00,0.00
1488424758,2.27,17,0.28,0.00,3348.00,34.00
1488424759,2.27,17,0.28,0.00,4048.00,8.00
1488424760,2.21,17,0.28,1152.00,1660.00,0.00
1488424761,2.25,17,0.28,1808.00,0.00,0.00
1488424762,2.27,17,0.28,1024.00,2500.00,0.00
1488424763,2.27,17,0.28,0.00,3864.00,35.00
1488424764,2.30,17,0.28,0.00,4196.00,5.00
1488424765,2.25,17,0.28,2320.00,0.00,1.00
1488424766,2.25,17,0.28,3376.00,968.00,0.00
1488424767,2.27,17,0.28,0.00,3252.00,31.00
1488424768,2.27,17,0.28,0.00,3804.00,4.00
1488424769,2.30,17,0.28,2304.00,2408.00,0.00
1488424770,2.25,17,0.28,6272.00,0.00,0.00
1488424771,2.25,17,0.28,3616.00,2140.00,1.00
1488424772,2.27,17,0.28,0.00,3780.00,26.00
1488424773,2.27,17,0.28,0.00,4460.00,2.00
1488424774,2.23,17,0.28,7216.00,220.00,0.00
1488424775,2.25,17,0.28,7200.00,0.00,0.00
1488424776,2.27,17,0.28,128.00,3504.00,14.00
1488424777,2.25,17,0.28,0.00,4108.00,17.00
1488424778,2.25,17,0.28,2912.00,3260.00,0.00
1488424779,2.18,17,0.28,9056.00,0.00,1.00
1488424780,2.20,17,0.28,4752.00,1536.00,0.00
1488424781,2.27,17,0.28,0.00,3620.00,31.00
1488424782,2.27,17,0.28,0.00,4060.00,6.00
1488424783,2.20,17,0.28,9888.00,1140.00,0.00
1488424784,2.25,17,0.28,9648.00,0.00,0.00
1488424785,2.27,17,0.28,1792.00,2952.00,1.00
1488424786,2.25,17,0.28,0.00,3848.00,40.00
1488424787,2.27,17,0.28,3168.00,3712.00,0.00
1488424788,2.25,17,0.28,8160.00,0.00,0.00
1488424789,2.27,17,0.28,4704.00,1552.00,0.00
1488424790,2.25,17,0.28,0.00,3576.00,37.00
1488424791,2.30,17,0.28,0.00,4016.00,8.00
1488424792,2.23,17,0.28,5504.00,944.00,0.00
1488424793,2.25,17,0.28,6080.00,0.00,1.00
1488424794,2.30,17,0.28,512.00,2860.00,0.00
1488424795,2.27,17,0.28,0.00,3656.00,34.00
1488424796,2.27,17,0.28,1152.00,3816.00,0.00
1488424797,2.27,17,0.28,4864.00,0.00,0.00
1488424798,2.27,17,0.28,3584.00,1468.00,0.00
1488424799,2.27,17,0.28,0.00,3860.00,28.00
1488424800,2.27,17,0.28,0.00,4148.00,5.00
1488424801,2.27,17,0.28,1664.00,1192.00,1.00
1488424802,2.27,17,0.28,3840.00,0.00,1.00
1488424803,2.27,17,0.28,1024.00,2820.00,1.00
1488424804,2.27,17,0.28,0.00,3692.00,41.00
1488424805,2.25,17,0.28,512.00,3840.00,1.00
1488424806,2.27,17,0.28,1920.00,0.00,1.00
1488424807,2.27,17,0.28,896.00,1288.00,0.00
1488424808,2.27,17,0.28,0.00,3536.00,29.00
1488424809,2.09,17,0.28,0.00,3664.00,5.00
1488424810,2.25,17,0.28,1024.00,2032.00,0.00
1488424811,2.30,17,0.28,1536.00,0.00,0.00
1488424812,2.25,17,0.28,384.00,2616.00,1.00
1488424813,2.27,17,0.28,0.00,3940.00,32.00
1488424814,2.30,17,0.28,512.00,3852.00,6.00
1488424815,2.27,17,0.28,1152.00,0.00,0.00
1488424816,2.25,17,0.28,896.00,1116.00,0.00
1488424817,2.27,17,0.28,0.00,3476.00,34.00
1488424818,2.27,17,0.28,0.00,4140.00,3.00
1488424819,2.27,17,0.28,896.00,1852.00,0.00
1488424820,2.27,17,0.28,384.00,0.00,1.00
1488424821,2.27,17,0.28,128.00,2708.00,0.00
1488424822,2.30,17,0.28,0.00,3828.00,35.00
1488424823,2.25,17,0.28,128.00,3876.00,0.00
1488424824,2.27,17,0.28,768.00,0.00,0.00
1488424825,2.30,17,0.28,512.00,1312.00,0.00
1488424826,2.25,17,0.28,0.00,3580.00,34.00
1488424827,2.30,17,0.28,0.00,4108.00,5.00
1488424828,2.25,17,0.28,384.00,1464.00,0.00
1488424829,2.30,17,0.28,512.00,0.00,0.00
1488424830,2.25,17,0.28,256.00,2588.00,0.00
1488424831,2.30,17,0.28,0.00,3884.00,32.00
1488424832,2.25,17,0.28,0.00,4008.00,1.00
1488424833,2.27,17,0.28,1536.00,0.00,1.00
1488424834,2.30,17,0.28,1152.00,896.00,0.00
1488424835,2.25,17,0.28,0.00,3484.00,35.00
1488424836,2.30,17,0.28,0.00,4232.00,4.00
1488424837,2.25,17,0.28,512.00,1676.00,0.00
1488424838,2.29,17,0.28,1920.00,0.00,0.00
1488424839,2.27,17,0.28,1152.00,1892.00,1.00
1488424840,2.25,16,0.28,0.00,4908.00,21.00
1488424841,2.30,16,0.28,0.00,4488.00,1.00
