Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488424643,1.29,17,0.00,1432.00,0.00,20.00
1488424644,1.36,17,0.00,1648.00,0.00,14.00
1488424645,1.23,16,0.01,2504.00,0.00,20.00
1488424646,1.30,16,0.01,2244.00,0.00,18.00
1488424647,1.23,16,0.01,3724.00,0.00,50.00
1488424648,1.18,16,0.01,4928.00,0.00,51.00
1488424649,1.21,16,0.01,4400.00,0.00,36.00
1488424650,1.27,16,0.01,2868.00,0.00,33.00
1488424651,1.25,17,0.01,4976.00,0.00,54.00
1488424652,1.32,18,0.01,3780.00,0.00,32.00
1488424653,1.27,16,0.01,2028.00,0.00,30.00
1488424654,1.23,17,0.01,2684.00,0.00,20.00
1488424655,1.36,17,0.01,2052.00,0.00,16.00
1488424656,1.27,17,0.01,3476.00,0.00,42.00
1488424657,1.23,17,0.01,3512.00,0.00,42.00
1488424658,1.27,16,0.02,3052.00,0.00,18.00
1488424659,1.18,17,0.01,4548.00,0.00,39.00
1488424660,1.27,0,0.01,1856.00,0.00,18.00
1488424661,1.25,16,0.02,2664.00,0.00,33.00
1488424662,1.23,16,0.02,4188.00,0.00,42.00
1488424663,1.30,16,0.02,2496.00,0.00,35.00
1488424664,1.23,16,0.02,2872.00,0.00,41.00
1488424665,1.23,16,0.02,3404.00,0.00,47.00
1488424666,1.14,0,0.02,3216.00,0.00,41.00
1488424667,1.39,16,0.02,2558.42,0.00,24.75
1488424668,1.27,16,0.02,4568.00,0.00,47.00
1488424669,1.23,16,0.02,2820.00,0.00,24.00
1488424670,1.25,17,0.02,2100.00,0.00,27.00
1488424671,1.23,16,0.02,4516.00,0.00,34.00
1488424672,1.21,16,0.02,3752.00,0.00,37.00
1488424673,1.14,16,0.02,4900.00,0.00,40.00
1488424674,1.30,0,0.03,2292.00,0.00,35.00
1488424675,1.25,17,0.03,2056.00,0.00,37.00
1488424676,1.25,17,0.03,2372.00,0.00,23.00
1488424677,1.30,17,0.03,1132.00,0.00,15.00
1488424678,1.25,16,0.03,3812.00,0.00,35.00
1488424679,1.43,16,0.03,2120.00,0.00,17.00
1488424680,1.32,16,0.03,2116.00,0.00,34.00
1488424681,1.18,16,0.03,4956.00,0.00,39.00
1488424682,1.23,17,0.03,772.00,0.00,2.00
1488424683,1.30,17,0.03,1116.00,0.00,18.00
1488424684,1.16,16,0.03,3140.00,0.00,21.00
1488424685,1.27,17,0.03,4520.00,0.00,27.00
1488424686,1.34,17,0.03,3620.00,0.00,23.00
1488424687,1.32,18,0.03,2124.00,0.00,9.00
1488424688,1.32,17,0.03,2408.00,0.00,27.00
1488424689,1.23,17,0.04,4056.00,0.00,33.00
1488424690,1.30,0,0.04,2636.00,0.00,15.00
1488424691,1.23,16,0.04,2484.00,0.00,24.00
1488424692,1.34,16,0.04,1064.00,0.00,22.00
1488424693,1.23,16,0.04,7180.00,0.00,56.00
1488424694,1.25,16,0.04,4048.00,0.00,45.00
1488424695,1.14,16,0.04,3952.00,0.00,32.00
1488424696,1.23,16,0.04,3848.00,0.00,32.00
1488424697,1.86,18,0.20,532.00,0.00,5.00
1488424698,1.91,16,0.20,4.00,0.00,1.00
1488424699,2.05,16,0.20,44.00,0.00,0.00
1488424700,2.00,16,0.21,68.00,0.00,0.00
1488424701,1.93,16,0.21,0.00,0.00,1.00
1488424702,1.98,16,0.21,48.00,0.00,0.00
1488424703,2.00,16,0.21,68.00,0.00,0.00
1488424704,2.14,17,0.22,40.00,0.00,0.00
1488424705,2.27,17,0.22,0.00,0.00,0.00
1488424706,2.07,17,0.22,0.00,0.00,0.00
1488424707,1.93,17,0.22,0.00,0.00,0.00
1488424708,2.02,17,0.22,4.00,0.00,0.00
1488424709,2.04,17,0.22,0.00,0.00,0.00
1488424710,1.95,17,0.23,0.00,0.00,0.00
1488424711,2.04,17,0.23,0.00,0.00,0.00
1488424712,1.95,17,0.23,0.00,0.00,0.00
1488424713,2.02,17,0.23,0.00,0.00,0.00
1488424714,2.00,17,0.23,0.00,0.00,0.00
1488424715,2.02,17,0.24,0.00,0.00,0.00
1488424716,2.00,17,0.24,0.00,0.00,0.00
1488424717,2.02,17,0.24,0.00,0.00,0.00
1488424718,2.00,17,0.24,0.00,0.00,0.00
1488424719,2.02,16,0.24,4.00,0.00,0.00
1488424720,2.25,0,0.25,0.00,0.00,7.00
1488424721,2.27,0,0.25,0.00,0.00,7.00
1488424722,2.09,0,0.25,0.00,0.00,8.00
1488424723,2.00,0,0.25,0.00,0.00,7.00
1488424724,2.02,0,0.25,0.00,0.00,7.00
1488424725,2.00,0,0.25,0.00,0.00,7.00
1488424726,2.00,0,0.26,0.00,0.00,8.00
1488424727,2.00,0,0.26,0.00,0.00,6.00
1488424728,1.98,16,0.26,16.00,0.00,4.00
1488424729,1.98,16,0.26,44.00,0.00,0.00
1488424730,1.95,17,0.26,72.00,0.00,0.00
1488424731,1.95,17,0.27,52.00,0.00,0.00
1488424732,1.95,16,0.27,68.00,0.00,0.00
1488424733,1.95,16,0.27,40.00,0.00,0.00
1488424734,1.95,16,0.27,56.00,0.00,0.00
1488424735,1.95,19,0.27,4.00,0.00,0.00
1488424736,2.09,20,0.28,4.00,0.00,0.00
1488424737,2.16,0,0.28,4.00,2296.00,7.00
1488424738,2.27,0,0.28,0.00,3760.00,43.00
1488424739,2.27,0,0.28,0.00,4196.00,11.00
1488424740,2.30,0,0.28,0.00,0.00,8.00
1488424741,2.27,0,0.28,0.00,1088.00,9.00
1488424742,2.25,16,0.28,0.00,3452.00,32.00
1488424743,2.30,16,0.28,0.00,4052.00,4.00
1488424744,2.25,16,0.28,0.00,1920.00,0.00
1488424745,2.27,16,0.28,0.00,0.00,0.00
1488424746,2.30,16,0.28,0.00,1184.00,0.00
1488424747,2.27,16,0.28,0.00,3420.00,39.00
1488424748,2.25,16,0.28,0.00,4048.00,10.00
1488424749,2.27,16,0.28,0.00,1784.00,0.00
1488424750,2.30,16,0.28,0.00,892.00,0.00
1488424751,2.25,16,0.28,0.00,3228.00,33.00
1488424752,2.27,16,0.28,0.00,4036.00,9.00
1488424753,2.27,16,0.28,0.00,2188.00,0.00
1488424754,2.30,16,0.28,0.00,0.00,0.00
1488424755,2.25,16,0.28,0.00,1572.00,0.00
1488424756,2.27,16,0.28,0.00,3624.00,34.00
1488424757,2.30,16,0.28,0.00,3952.00,14.00
1488424758,2.25,16,0.28,0.00,1152.00,0.00
1488424759,2.30,16,0.28,0.00,0.00,0.00
1488424760,2.27,16,0.28,0.00,2860.00,0.00
1488424761,2.25,16,0.28,0.00,3588.00,48.00
1488424762,2.27,16,0.28,0.00,3912.00,3.00
1488424763,2.27,16,0.28,0.00,0.00,0.00
1488424764,2.27,16,0.28,0.00,996.00,0.00
1488424765,2.27,16,0.28,0.00,3244.00,40.00
1488424766,2.30,16,0.28,0.00,4052.00,7.00
1488424767,2.27,16,0.28,0.00,1880.00,4.00
1488424768,2.25,16,0.28,0.00,0.00,1.00
1488424769,2.30,16,0.28,0.00,2532.00,0.00
1488424770,2.27,16,0.28,0.00,3972.00,27.00
1488424771,2.27,16,0.28,0.00,4300.00,8.00
1488424772,2.25,16,0.28,0.00,0.00,4.00
1488424773,2.29,16,0.28,0.00,0.00,0.00
1488424774,2.27,16,0.28,0.00,3528.00,16.00
1488424775,2.25,16,0.28,0.00,3896.00,17.00
1488424776,2.27,16,0.28,0.00,3264.00,0.00
1488424777,2.27,16,0.28,0.00,0.00,3.00
1488424778,2.27,16,0.28,0.00,1528.00,0.00
1488424779,2.27,16,0.28,0.00,4044.00,32.00
1488424780,2.30,16,0.28,0.00,4148.00,6.00
1488424781,2.25,16,0.28,0.00,1288.00,0.00
1488424782,2.30,16,0.28,0.00,0.00,4.00
1488424783,2.27,16,0.28,0.00,2776.00,0.00
1488424784,2.27,16,0.28,0.00,3628.00,37.00
1488424785,2.25,16,0.28,0.00,3916.00,2.00
1488424786,2.30,16,0.28,0.00,0.00,0.00
1488424787,2.25,16,0.28,0.00,1180.00,4.00
1488424788,2.30,16,0.28,0.00,3344.00,43.00
1488424789,2.25,16,0.28,0.00,4032.00,9.00
1488424790,2.29,16,0.28,0.00,1640.00,0.00
1488424791,2.25,16,0.28,0.00,0.00,0.00
1488424792,2.27,17,0.28,0.00,2464.00,0.00
1488424793,2.30,17,0.28,0.00,3832.00,37.00
1488424794,2.25,17,0.28,0.00,4264.00,1.00
1488424795,2.27,17,0.28,0.00,0.00,0.00
1488424796,2.27,17,0.28,0.00,736.00,0.00
1488424797,2.27,17,0.28,0.00,3192.00,28.00
1488424798,2.30,17,0.28,0.00,4020.00,4.00
1488424799,2.27,17,0.28,0.00,2484.00,0.00
1488424800,2.27,17,0.28,0.00,0.00,0.00
1488424801,2.27,17,0.28,0.00,1956.00,1.00
1488424802,2.25,17,0.28,0.00,3736.00,27.00
1488424803,2.27,17,0.28,0.00,4292.00,6.00
1488424804,2.30,17,0.28,0.00,616.00,1.00
1488424805,2.27,17,0.28,0.00,0.00,1.00
1488424806,2.27,17,0.28,0.00,3096.00,6.00
1488424807,2.27,17,0.28,0.00,3928.00,26.00
1488424808,2.25,17,0.28,0.00,3760.00,0.00
1488424809,2.30,17,0.28,0.00,0.00,0.00
1488424810,2.27,17,0.28,0.00,1320.00,0.00
1488424811,2.25,17,0.28,0.00,3528.00,34.00
1488424812,2.27,17,0.28,0.00,4084.00,6.00
1488424813,2.30,17,0.28,0.00,1504.00,0.00
1488424814,2.25,17,0.28,0.00,0.00,0.00
1488424815,2.30,17,0.28,0.00,2660.00,0.00
1488424816,2.27,17,0.28,0.00,3780.00,35.00
1488424817,2.25,17,0.28,0.00,4076.00,3.00
1488424818,2.30,17,0.28,0.00,0.00,0.00
1488424819,2.27,17,0.28,0.00,1020.00,0.00
1488424820,2.27,17,0.28,0.00,3208.00,41.00
1488424821,2.25,17,0.28,0.00,4028.00,8.00
1488424822,2.29,17,0.28,0.00,1836.00,0.00
1488424823,2.27,17,0.28,0.00,0.00,0.00
1488424824,2.27,17,0.28,0.00,2170.30,0.00
1488424825,2.25,17,0.28,0.00,3680.00,34.00
1488424826,2.27,17,0.28,0.00,4460.00,3.00
1488424827,2.27,17,0.28,0.00,0.00,0.00
1488424828,2.27,17,0.28,0.00,368.00,0.00
1488424829,2.30,17,0.28,0.00,3356.00,29.00
1488424830,2.25,17,0.28,0.00,4208.00,4.00
