Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425068,1.29,17,0.00,1623.76,0.00,8.91
1488425069,1.48,17,0.01,716.00,0.00,10.00
1488425070,1.55,21,0.01,1992.00,0.00,17.00
1488425071,1.61,4,0.01,912.00,0.00,3.00
1488425072,1.45,17,0.01,1012.00,0.00,8.00
1488425073,1.57,18,0.01,3872.00,0.00,25.00
1488425074,1.41,16,0.01,4428.00,0.00,33.00
1488425075,1.59,16,0.01,1012.00,0.00,16.00
1488425076,1.68,2,0.01,676.00,0.00,16.00
1488425077,1.46,19,0.01,340.00,0.00,5.00
1488425078,1.55,17,0.01,1904.00,0.00,24.00
1488425079,1.43,18,0.02,2468.00,0.00,25.00
1488425080,1.50,1,0.02,252.00,0.00,2.00
1488425081,1.39,18,0.02,916.00,0.00,11.00
1488425082,1.37,20,0.02,1808.00,0.00,18.00
1488425083,1.55,11,0.02,172.00,0.00,2.00
1488425084,1.66,11,0.02,0.00,0.00,0.00
1488425085,1.25,16,0.02,2300.00,0.00,34.00
1488425086,1.57,2,0.02,1168.00,0.00,14.00
1488425087,1.45,16,0.02,2868.00,0.00,38.00
1488425088,1.34,16,0.02,1708.00,0.00,19.00
1488425089,1.68,18,0.03,1064.00,0.00,4.00
1488425090,1.48,2,0.03,1900.00,0.00,13.00
1488425091,1.62,3,0.03,0.00,0.00,1.00
1488425092,1.55,16,0.03,696.00,0.00,12.00
1488425093,1.43,3,0.03,1284.00,0.00,14.00
1488425094,1.59,18,0.03,4012.00,0.00,38.00
1488425095,1.59,20,0.03,144.00,0.00,2.00
1488425096,1.59,21,0.03,272.00,0.00,0.00
1488425097,1.20,1,0.04,2692.00,0.00,11.00
1488425098,1.50,20,0.04,624.00,0.00,0.00
1488425099,1.39,17,0.04,2832.00,0.00,8.00
1488425100,1.46,19,0.04,1340.00,0.00,21.00
1488425101,1.57,4,0.04,1960.00,0.00,15.00
1488425102,1.32,17,0.04,1836.00,0.00,17.00
1488425103,1.93,20,0.20,232.00,0.00,2.00
1488425104,2.07,16,0.20,4.00,0.00,2.00
1488425105,2.07,0,0.21,24.00,0.00,1.00
1488425106,2.25,16,0.21,4.00,0.00,2.00
1488425107,1.98,16,0.21,36.00,0.00,0.00
1488425108,1.96,17,0.21,36.00,0.00,0.00
1488425109,1.98,16,0.21,40.00,0.00,0.00
1488425110,1.98,17,0.21,32.00,0.00,0.00
1488425111,1.93,16,0.22,32.00,0.00,0.00
1488425112,2.02,16,0.22,36.00,0.00,1.00
1488425113,2.05,17,0.22,36.00,0.00,0.00
1488425114,2.00,18,0.22,40.00,0.00,1.00
1488425115,2.00,17,0.22,36.00,0.00,0.00
