Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425410,1.20,33,0.00,1076.00,0.00,10.00
1488425411,1.23,33,0.01,2172.00,0.00,17.00
1488425412,1.30,36,0.01,824.00,0.00,9.00
1488425413,1.23,41,0.01,1980.00,0.00,12.00
1488425414,1.23,23,0.01,428.00,0.00,7.00
1488425415,1.25,39,0.01,1936.00,0.00,19.00
1488425416,1.21,23,0.01,3692.00,0.00,34.00
1488425417,1.18,27,0.01,1204.00,0.00,11.00
1488425418,1.23,29,0.01,988.00,0.00,6.00
1488425419,1.23,33,0.01,860.00,0.00,10.00
1488425420,1.20,28,0.01,1852.00,0.00,12.00
1488425421,1.16,30,0.01,2428.00,0.00,22.00
1488425422,1.30,35,0.01,700.00,0.00,11.00
1488425423,1.23,40,0.01,2300.00,0.00,20.00
1488425424,1.25,41,0.01,6232.00,0.00,36.00
1488425425,1.41,40,0.01,9464.00,0.00,64.00
1488425426,1.41,39,0.02,1012.00,0.00,11.00
1488425427,1.34,39,0.02,4984.00,0.00,33.00
1488425428,1.16,39,0.02,6900.00,0.00,50.00
1488425429,1.07,41,0.02,2736.00,0.00,23.00
1488425430,1.25,24,0.02,1584.00,0.00,17.00
1488425431,1.27,27,0.02,1908.00,0.00,12.00
1488425432,1.25,22,0.02,2800.00,0.00,24.00
1488425433,1.27,31,0.02,2204.00,0.00,23.00
1488425434,1.27,22,0.02,1636.00,0.00,17.00
1488425435,1.18,36,0.02,700.00,0.00,6.00
1488425436,1.23,40,0.02,948.00,0.00,7.00
1488425437,1.23,43,0.02,388.00,0.00,4.00
1488425438,1.11,26,0.02,2756.00,0.00,27.00
1488425439,1.21,27,0.03,2843.56,0.00,19.80
1488425440,1.23,32,0.03,1588.00,0.00,13.00
1488425441,1.25,33,0.03,3020.00,0.00,28.00
1488425442,1.30,37,0.03,2016.00,0.00,19.00
1488425443,1.11,41,0.03,2120.00,0.00,16.00
1488425444,1.18,41,0.03,3376.00,0.00,33.00
1488425445,1.36,25,0.03,2776.00,0.00,21.00
1488425446,1.23,27,0.03,1000.00,0.00,10.00
1488425447,1.27,29,0.03,1584.00,0.00,17.00
1488425448,1.23,34,0.03,1864.00,0.00,18.00
1488425449,1.23,35,0.03,776.00,0.00,8.00
1488425450,1.25,38,0.03,1048.00,0.00,8.00
1488425451,1.34,37,0.03,1292.00,0.00,11.00
1488425452,1.36,22,0.03,768.00,0.00,5.00
1488425453,1.25,27,0.03,692.00,0.00,7.00
1488425454,1.32,32,0.04,2064.00,0.00,18.00
1488425455,1.36,22,0.04,1172.00,0.00,8.00
1488425456,1.21,29,0.04,2808.00,0.00,25.00
1488425457,1.34,27,0.04,332.00,0.00,7.00
1488425458,1.23,25,0.04,2080.00,0.00,18.00
1488425459,1.27,25,0.04,792.00,0.00,8.00
1488425460,1.20,34,0.04,1256.00,0.00,13.00
1488425461,1.25,39,0.11,1640.00,0.00,14.00
1488425462,2.02,39,0.20,0.00,0.00,0.00
1488425463,1.98,39,0.20,4.00,0.00,0.00
1488425464,2.07,39,0.21,0.00,0.00,0.00
1488425465,2.02,39,0.21,0.00,0.00,0.00
1488425466,2.02,39,0.21,0.00,0.00,0.00
1488425467,1.98,41,0.21,68.00,0.00,0.00
1488425468,1.98,38,0.21,40.00,0.00,0.00
1488425469,2.27,40,0.22,0.00,0.00,0.00
1488425470,2.04,40,0.22,4.00,0.00,0.00
1488425471,1.93,40,0.22,4.00,0.00,0.00
1488425472,1.98,40,0.22,0.00,0.00,0.00
1488425473,2.00,40,0.22,0.00,0.00,0.00
1488425474,2.02,40,0.22,8.00,0.00,0.00
1488425475,1.96,23,0.23,8.00,0.00,0.00
1488425476,1.98,23,0.23,0.00,0.00,1.00
1488425477,1.91,23,0.23,0.00,0.00,2.00
1488425478,1.93,23,0.23,0.00,0.00,0.00
1488425479,1.95,23,0.23,4.00,0.00,1.00
1488425480,2.23,24,0.23,4.00,0.00,0.00
1488425481,2.18,24,0.24,4.00,0.00,0.00
1488425482,1.96,24,0.24,0.00,0.00,0.00
1488425483,1.98,41,0.24,4.00,0.00,0.00
1488425484,1.98,41,0.24,80.00,0.00,0.00
1488425485,2.18,24,0.24,12.00,0.00,0.00
1488425486,2.25,25,0.25,0.00,0.00,0.00
1488425487,2.27,25,0.25,0.00,0.00,1.00
1488425488,2.11,26,0.25,16.00,0.00,1.00
1488425489,1.91,27,0.25,16.00,0.00,1.00
1488425490,2.00,28,0.25,24.00,0.00,1.00
1488425491,2.00,29,0.25,0.00,0.00,1.00
1488425492,2.02,29,0.26,0.00,0.00,1.00
1488425493,2.02,29,0.26,0.00,0.00,1.00
1488425494,2.02,29,0.26,0.00,0.00,1.00
1488425495,2.02,29,0.26,0.00,0.00,2.00
1488425496,2.05,29,0.26,0.00,0.00,1.00
1488425497,2.00,29,0.26,0.00,0.00,1.00
1488425498,2.09,30,0.27,0.00,0.00,1.00
1488425499,1.98,30,0.27,4.00,0.00,1.00
1488425500,2.00,28,0.27,8.00,0.00,1.00
1488425501,2.02,28,0.27,0.00,0.00,1.00
1488425502,2.00,28,0.27,0.00,0.00,1.00
1488425503,1.95,28,0.28,0.00,0.00,1.00
1488425504,2.16,28,0.28,0.00,476.00,0.00
1488425505,2.30,28,0.28,0.00,3004.00,29.00
1488425506,2.27,28,0.28,0.00,3724.00,13.00
1488425507,2.25,28,0.28,0.00,3048.00,0.00
1488425508,2.27,28,0.28,0.00,0.00,0.00
1488425509,2.27,28,0.28,0.00,1372.00,0.00
1488425510,2.30,28,0.28,0.00,3224.00,33.00
1488425511,2.25,28,0.28,0.00,3732.00,10.00
1488425512,2.27,28,0.28,0.00,2160.00,0.00
