Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425016,1.14,16,0.00,2628.00,0.00,49.00
1488425017,1.25,18,0.00,1560.00,0.00,16.00
1488425018,1.23,21,0.01,340.00,0.00,1.00
1488425019,1.20,17,0.01,1900.00,0.00,17.00
1488425020,1.14,17,0.01,1704.00,0.00,17.00
1488425021,1.27,16,0.01,2260.00,0.00,42.00
1488425022,1.21,16,0.01,1712.00,0.00,34.00
1488425023,1.14,18,0.01,2356.00,0.00,33.00
1488425024,1.23,17,0.01,1232.00,0.00,8.00
1488425025,1.32,18,0.01,1192.00,0.00,21.00
1488425026,1.25,17,0.01,2440.00,0.00,19.00
1488425027,1.18,19,0.01,3036.00,0.00,26.00
1488425028,1.36,17,0.01,2684.00,0.00,16.00
1488425029,1.14,17,0.01,1432.00,0.00,11.00
1488425030,1.21,0,0.01,1672.00,0.00,17.00
1488425031,1.23,16,0.01,1036.00,0.00,28.00
1488425032,1.16,0,0.02,1824.00,0.00,21.00
1488425033,1.27,16,0.01,648.00,0.00,6.00
1488425034,1.11,16,0.02,2712.00,0.00,24.00
1488425035,1.21,18,0.02,1624.00,0.00,16.00
1488425036,1.23,17,0.02,1316.00,0.00,8.00
1488425037,1.11,16,0.02,1600.00,0.00,9.00
1488425038,1.27,18,0.02,1572.00,0.00,18.00
1488425039,1.23,18,0.02,2792.00,0.00,34.00
1488425040,1.32,18,0.02,1364.00,0.00,20.00
1488425041,1.23,18,0.02,2400.00,0.00,15.00
1488425042,1.14,18,0.02,1004.00,0.00,19.00
1488425043,1.21,17,0.02,3232.00,0.00,29.00
1488425044,1.23,18,0.02,1756.00,0.00,13.00
1488425045,1.27,16,0.02,1664.00,0.00,39.00
1488425046,1.18,17,0.02,1876.00,0.00,11.00
1488425047,1.34,19,0.03,536.00,0.00,8.00
1488425048,1.25,16,0.03,2592.00,0.00,22.00
1488425049,1.25,21,0.03,2516.00,0.00,27.00
1488425050,1.21,16,0.03,2116.00,0.00,16.00
1488425051,1.34,17,0.03,1036.00,0.00,32.00
1488425052,1.23,16,0.03,1552.00,0.00,44.00
1488425053,1.23,16,0.03,1672.00,0.00,15.00
1488425054,1.21,0,0.03,848.00,0.00,39.00
1488425055,1.14,0,0.03,472.00,0.00,0.00
1488425056,1.30,20,0.03,812.00,0.00,12.00
1488425057,1.32,20,0.03,252.00,0.00,3.00
1488425058,1.18,7,0.03,1468.00,0.00,19.00
1488425059,1.34,18,0.03,2104.00,0.00,50.00
1488425060,1.36,16,0.03,1664.00,0.00,14.00
1488425061,1.25,16,0.03,1880.00,0.00,24.00
1488425062,1.25,19,0.04,3436.00,0.00,32.00
1488425063,1.27,18,0.04,1140.00,0.00,14.00
1488425064,1.23,17,0.04,1460.00,0.00,11.00
1488425065,1.23,17,0.04,1312.00,0.00,29.00
1488425066,1.36,20,0.04,572.00,0.00,29.00
1488425067,1.20,18,0.04,488.00,0.00,7.00
1488425068,1.25,19,0.04,1260.00,0.00,10.00
1488425069,1.25,17,0.06,2740.00,0.00,33.00
