Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425410,1.18,34,0.00,280.00,0.00,1.00
1488425411,1.30,35,0.01,2248.00,0.00,20.00
1488425412,1.30,37,0.01,612.00,0.00,2.00
1488425413,1.27,38,0.01,2376.00,0.00,25.00
1488425414,1.21,38,0.01,740.00,0.00,6.00
1488425415,1.27,40,0.01,1764.00,0.00,15.00
1488425416,1.30,28,0.01,1620.00,0.00,14.00
1488425417,1.21,28,0.01,324.00,0.00,4.00
1488425418,1.18,27,0.01,1940.00,0.00,18.00
1488425419,1.23,30,0.01,1484.00,0.00,13.00
1488425420,1.30,25,0.01,392.00,0.00,6.00
1488425421,1.25,33,0.01,1104.00,0.00,12.00
1488425422,1.30,23,0.01,2032.00,0.00,18.00
1488425423,1.18,39,0.01,3448.00,0.00,24.00
1488425424,1.43,22,0.01,2768.00,0.00,22.00
1488425425,1.57,35,0.02,2056.00,0.00,19.00
1488425426,1.39,40,0.01,1396.00,0.00,11.00
1488425427,1.30,40,0.02,6916.00,0.00,56.00
1488425428,1.43,24,0.02,1328.00,0.00,8.00
1488425429,1.14,22,0.02,720.00,0.00,9.00
1488425430,1.27,22,0.02,1684.00,0.00,15.00
1488425431,1.20,28,0.02,1136.00,0.00,11.00
1488425432,1.30,28,0.02,1760.00,0.00,22.00
1488425433,1.27,35,0.02,2248.00,0.00,22.00
1488425434,1.16,33,0.02,1556.00,0.00,14.00
1488425435,1.16,38,0.02,476.00,0.00,6.00
1488425436,1.18,38,0.02,1484.00,0.00,13.00
1488425437,1.18,22,0.02,636.00,0.00,6.00
1488425438,1.21,25,0.02,1872.00,0.00,19.00
1488425439,1.23,30,0.03,613.86,0.00,6.93
1488425440,1.27,28,0.03,960.00,0.00,9.00
1488425441,1.23,31,0.03,1928.00,0.00,22.00
1488425442,1.32,38,0.03,728.00,0.00,4.00
1488425443,1.16,40,0.03,148.00,0.00,1.00
1488425444,1.25,42,0.03,900.00,0.00,8.00
1488425445,1.41,26,0.03,1816.00,0.00,10.00
1488425446,1.23,28,0.03,388.00,0.00,4.00
1488425447,1.30,31,0.03,1160.00,0.00,8.00
1488425448,1.30,31,0.03,572.00,0.00,5.00
1488425449,1.18,32,0.03,2060.00,0.00,15.00
1488425450,1.25,34,0.03,336.00,0.00,2.00
1488425451,1.39,23,0.03,372.00,0.00,6.00
1488425452,1.27,25,0.03,968.00,0.00,16.00
1488425453,1.23,26,0.03,364.00,0.00,4.00
1488425454,1.30,31,0.04,2504.00,0.00,24.00
1488425455,1.32,40,0.04,2716.00,0.00,20.00
1488425456,1.21,24,0.04,2100.00,0.00,17.00
1488425457,1.16,25,0.04,2192.00,0.00,20.00
1488425458,1.25,26,0.04,2268.00,0.00,25.00
1488425459,1.25,27,0.04,316.00,0.00,4.00
1488425460,1.18,30,0.04,1076.00,0.00,12.00
1488425461,1.23,40,0.11,2252.00,0.00,18.00
1488425462,2.05,40,0.20,8.00,0.00,0.00
1488425463,1.98,41,0.20,16.00,0.00,0.00
1488425464,2.07,41,0.21,28.00,0.00,0.00
1488425465,2.02,41,0.21,0.00,0.00,0.00
1488425466,2.00,41,0.21,0.00,0.00,0.00
1488425467,1.98,42,0.21,16.00,0.00,0.00
1488425468,2.20,22,0.21,4.00,0.00,0.00
1488425469,2.18,23,0.22,20.00,0.00,0.00
1488425470,2.27,23,0.22,0.00,0.00,0.00
1488425471,2.05,23,0.22,0.00,0.00,1.00
1488425472,1.98,23,0.22,0.00,0.00,0.00
1488425473,2.02,23,0.22,0.00,0.00,1.00
1488425474,2.00,23,0.22,0.00,0.00,0.00
1488425475,1.98,24,0.23,4.00,0.00,1.00
1488425476,2.25,24,0.23,0.00,0.00,1.00
1488425477,2.05,24,0.23,0.00,0.00,1.00
1488425478,2.14,42,0.23,20.00,0.00,1.00
1488425479,2.23,42,0.23,0.00,0.00,0.00
1488425480,2.21,43,0.23,0.00,0.00,1.00
1488425481,2.11,43,0.24,0.00,0.00,0.00
1488425482,1.96,43,0.24,0.00,0.00,0.00
1488425483,2.14,22,0.24,0.00,0.00,0.00
1488425484,2.25,22,0.24,0.00,0.00,0.00
1488425485,2.25,23,0.24,4.00,0.00,2.00
1488425486,2.25,26,0.24,8.00,0.00,0.00
1488425487,2.27,26,0.25,0.00,0.00,1.00
1488425488,2.14,28,0.25,20.00,0.00,1.00
1488425489,2.27,28,0.25,0.00,0.00,1.00
1488425490,2.00,27,0.25,52.00,0.00,1.00
1488425491,2.00,28,0.25,52.00,0.00,2.00
1488425492,2.02,28,0.26,0.00,0.00,1.00
1488425493,2.02,27,0.26,36.00,0.00,1.00
1488425494,2.25,28,0.26,4.00,0.00,1.00
1488425495,2.09,28,0.26,0.00,0.00,0.00
1488425496,2.05,28,0.26,8.00,0.00,0.00
1488425497,2.02,28,0.26,0.00,0.00,2.00
1488425498,1.93,28,0.27,0.00,0.00,1.00
1488425499,2.23,29,0.27,0.00,0.00,1.00
1488425500,2.11,27,0.27,12.00,0.00,1.00
1488425501,2.02,27,0.27,0.00,0.00,1.00
1488425502,1.98,27,0.27,32.00,0.00,1.00
1488425503,1.95,30,0.28,64.00,0.00,0.00
1488425504,2.16,30,0.28,20.00,504.00,0.00
1488425505,2.27,30,0.28,0.00,2988.00,34.00
1488425506,2.25,30,0.28,0.00,3736.00,15.00
1488425507,2.27,30,0.28,0.00,3024.00,0.00
1488425508,2.27,30,0.28,0.00,0.00,0.00
1488425509,2.23,30,0.28,0.00,1336.00,1.00
1488425510,2.25,30,0.28,0.00,3204.00,31.00
1488425511,2.30,30,0.28,0.00,3752.00,14.00
1488425512,2.27,30,0.28,0.00,2196.00,0.00
1488425513,2.27,30,0.28,0.00,0.00,0.00
1488425514,2.27,30,0.28,0.00,0.00,0.00
1488425515,2.25,30,0.28,0.00,3204.00,9.00
1488425516,2.27,30,0.28,0.00,3616.00,40.00
1488425517,2.30,30,0.28,128.00,3636.00,1.00
1488425518,2.25,30,0.28,3712.00,0.00,20.00
1488425519,2.29,30,0.28,2560.00,2192.00,17.00
1488425520,2.25,30,0.28,0.00,3460.00,32.00
1488425521,2.30,30,0.28,0.00,3972.00,10.00
1488425522,2.27,30,0.28,4224.00,720.00,28.00
1488425523,2.27,30,0.28,8576.00,0.00,40.00
1488425524,2.25,30,0.28,5632.00,1852.00,21.00
1488425525,2.30,30,0.28,0.00,3492.00,28.00
1488425526,2.27,30,0.28,0.00,3720.00,12.00
1488425527,2.27,30,0.28,7040.00,1344.00,32.00
1488425528,2.27,30,0.28,15488.00,0.00,33.00
1488425529,2.25,30,0.28,5632.00,2048.00,19.00
1488425530,2.30,30,0.28,0.00,3444.00,32.00
1488425531,2.27,30,0.28,0.00,3872.00,14.00
1488425532,2.25,30,0.28,10368.00,1000.00,38.00
1488425533,2.27,30,0.28,16000.00,0.00,34.00
