Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425016,1.11,37,0.00,1580.00,0.00,18.00
1488425017,1.32,26,0.00,2504.00,0.00,20.00
1488425018,1.27,30,0.01,428.00,0.00,4.00
1488425019,1.25,34,0.01,1856.00,0.00,14.00
1488425020,1.16,35,0.01,1568.00,0.00,10.00
1488425021,1.36,38,0.01,2628.00,0.00,22.00
1488425022,1.11,42,0.01,3684.00,0.00,38.00
1488425023,1.25,22,0.01,3300.00,0.00,30.00
1488425024,1.16,36,0.01,2612.00,0.00,30.00
1488425025,1.25,25,0.01,2728.00,0.00,23.00
1488425026,1.20,29,0.01,1504.00,0.00,17.00
1488425027,1.30,35,0.01,488.00,0.00,9.00
1488425028,1.34,35,0.01,1408.00,0.00,14.00
1488425029,1.16,36,0.01,1652.00,0.00,17.00
1488425030,1.21,42,0.01,2080.00,0.00,16.00
1488425031,1.34,22,0.01,984.00,0.00,7.00
1488425032,1.25,25,0.02,2020.00,0.00,20.00
1488425033,1.21,28,0.01,1096.00,0.00,10.00
1488425034,1.18,22,0.02,1376.00,0.00,12.00
1488425035,1.32,33,0.02,360.00,0.00,2.00
1488425036,1.07,32,0.02,1788.00,0.00,14.00
1488425037,1.09,23,0.02,2384.00,0.00,27.00
1488425038,1.34,27,0.02,1088.00,0.00,12.00
1488425039,1.32,30,0.02,632.00,0.00,6.00
1488425040,1.30,25,0.02,1132.00,0.00,10.00
1488425041,1.27,24,0.02,744.00,0.00,9.00
1488425042,1.14,22,0.02,1544.00,0.00,13.00
1488425043,1.23,33,0.02,2232.00,0.00,18.00
1488425044,1.18,36,0.02,2356.00,0.00,21.00
1488425045,1.25,37,0.02,1376.00,0.00,15.00
1488425046,1.16,26,0.02,1404.00,0.00,14.00
1488425047,1.27,30,0.02,1976.00,0.00,19.00
1488425048,1.41,37,0.03,316.00,0.00,2.00
1488425049,1.30,39,0.03,916.00,0.00,14.00
1488425050,1.21,39,0.03,1736.00,0.00,18.00
1488425051,1.36,25,0.03,1516.00,0.00,18.00
1488425052,1.30,27,0.03,1540.00,0.00,14.00
1488425053,1.23,30,0.03,2184.00,0.00,22.00
1488425054,1.27,32,0.03,784.00,0.00,6.00
1488425055,1.11,36,0.03,3096.00,0.00,26.00
1488425056,1.21,34,0.03,1764.00,0.00,18.00
1488425057,1.27,41,0.03,852.00,0.00,6.00
1488425058,1.23,23,0.03,1332.00,0.00,10.00
1488425059,1.30,24,0.03,732.00,0.00,9.00
1488425060,1.30,26,0.03,1404.00,0.00,9.00
1488425061,1.25,27,0.03,808.00,0.00,9.00
1488425062,1.32,29,0.04,624.00,0.00,4.00
1488425063,1.27,29,0.04,372.00,0.00,6.00
1488425064,1.14,35,0.04,2084.00,0.00,20.00
1488425065,1.23,37,0.04,1512.00,0.00,17.00
1488425066,1.32,23,0.04,1544.00,0.00,12.00
1488425067,1.18,26,0.04,2288.00,0.00,20.00
1488425068,1.21,22,0.04,2120.00,0.00,23.00
1488425069,1.34,24,0.06,472.00,0.00,4.00
