Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425016,1.16,36,0.00,896.00,0.00,9.00
1488425017,1.32,25,0.00,2228.00,0.00,26.00
1488425018,1.25,29,0.00,1640.00,0.00,13.00
1488425019,1.34,31,0.01,1644.00,0.00,16.00
1488425020,1.09,37,0.01,3132.00,0.00,29.00
1488425021,1.36,41,0.01,1944.00,0.00,16.00
1488425022,1.23,40,0.01,448.00,0.00,3.00
1488425023,1.41,29,0.01,176.00,0.00,1.00
1488425024,1.30,35,0.01,2400.00,0.00,22.00
1488425025,1.23,26,0.01,2076.00,0.00,19.00
1488425026,1.20,31,0.01,1348.00,0.00,13.00
1488425027,1.25,33,0.01,1348.00,0.00,13.00
1488425028,1.30,40,0.01,1912.00,0.00,16.00
1488425029,1.18,38,0.01,428.00,0.00,3.00
1488425030,1.30,25,0.01,708.00,0.00,5.00
1488425031,1.32,26,0.01,1348.00,0.00,11.00
1488425032,1.23,22,0.02,1180.00,0.00,9.00
1488425033,1.27,23,0.01,1672.00,0.00,18.00
1488425034,1.16,29,0.02,600.00,0.00,8.00
1488425035,1.32,31,0.02,1280.00,0.00,9.00
1488425036,1.16,35,0.02,1136.00,0.00,10.00
1488425037,1.20,22,0.02,1788.00,0.00,15.00
1488425038,1.25,29,0.02,1020.00,0.00,9.00
1488425039,1.21,27,0.02,1748.00,0.00,14.00
1488425040,1.27,32,0.02,1960.00,0.00,20.00
1488425041,1.27,25,0.02,1620.00,0.00,16.00
1488425042,1.21,27,0.02,856.00,0.00,8.00
1488425043,1.27,31,0.02,496.00,0.00,5.00
1488425044,1.20,33,0.02,668.00,0.00,7.00
1488425045,1.34,23,0.02,484.00,0.00,5.00
1488425046,1.21,25,0.02,2616.00,0.00,22.00
1488425047,1.18,27,0.02,2244.00,0.00,23.00
1488425048,1.27,22,0.03,3072.00,0.00,29.00
1488425049,1.30,37,0.03,1364.00,0.00,15.00
1488425050,1.21,37,0.03,2376.00,0.00,21.00
1488425051,1.32,43,0.03,1272.00,0.00,10.00
1488425052,1.30,26,0.03,840.00,0.00,8.00
1488425053,1.25,29,0.03,480.00,0.00,5.00
1488425054,1.18,31,0.03,2020.00,0.00,18.00
1488425055,1.11,34,0.03,1780.00,0.00,15.00
1488425056,1.25,38,0.03,1472.00,0.00,14.00
1488425057,1.23,42,0.03,1784.00,0.00,20.00
1488425058,1.34,24,0.03,1512.00,0.00,12.00
1488425059,1.23,23,0.03,896.00,0.00,6.00
1488425060,1.39,23,0.03,376.00,0.00,5.00
1488425061,1.27,25,0.03,1540.00,0.00,10.00
1488425062,1.20,28,0.04,2028.00,0.00,19.00
1488425063,1.27,28,0.04,2320.00,0.00,21.00
1488425064,1.32,36,0.04,792.00,0.00,9.00
1488425065,1.18,39,0.04,1356.00,0.00,9.00
1488425066,1.41,26,0.04,1084.00,0.00,8.00
1488425067,1.18,29,0.04,2724.00,0.00,27.00
1488425068,1.21,31,0.04,2000.00,0.00,14.00
1488425069,1.32,29,0.06,1308.00,0.00,7.00
