Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425016,1.18,35,0.00,1020.00,0.00,9.00
1488425017,1.25,24,0.00,3012.00,0.00,26.00
1488425018,1.05,27,0.00,2480.00,0.00,19.00
1488425019,1.32,35,0.01,344.00,0.00,4.00
1488425020,1.25,34,0.01,808.00,0.00,4.00
1488425021,1.36,40,0.01,1140.00,0.00,12.00
1488425022,1.32,22,0.01,152.00,0.00,1.00
1488425023,1.27,23,0.01,1956.00,0.00,12.00
1488425024,1.23,37,0.01,1040.00,0.00,10.00
1488425025,1.30,26,0.01,740.00,0.00,6.00
1488425026,1.18,33,0.01,1396.00,0.00,12.00
1488425027,1.30,36,0.01,1292.00,0.00,13.00
1488425028,1.34,39,0.01,676.00,0.00,7.00
1488425029,1.18,39,0.01,1872.00,0.00,15.00
1488425030,1.14,41,0.01,1892.00,0.00,20.00
1488425031,1.23,27,0.01,1372.00,0.00,11.00
1488425032,1.30,27,0.02,1280.00,0.00,14.00
1488425033,1.14,26,0.01,4332.00,0.00,41.00
1488425034,1.18,31,0.02,2032.00,0.00,16.00
1488425035,1.23,32,0.02,2084.00,0.00,23.00
1488425036,1.16,34,0.02,712.00,0.00,8.00
1488425037,1.20,25,0.02,1832.00,0.00,17.00
1488425038,1.27,28,0.02,532.00,0.00,2.00
1488425039,1.25,22,0.02,1592.00,0.00,19.00
1488425040,1.30,24,0.02,424.00,0.00,5.00
1488425041,1.32,27,0.02,780.00,0.00,8.00
1488425042,1.23,29,0.02,2036.00,0.00,18.00
1488425043,1.30,32,0.02,496.00,0.00,5.00
1488425044,1.11,35,0.02,2556.00,0.00,25.00
1488425045,1.39,38,0.02,1504.00,0.00,14.00
1488425046,1.23,22,0.02,684.00,0.00,6.00
1488425047,1.27,29,0.02,692.00,0.00,9.00
1488425048,1.32,34,0.03,1960.00,0.00,17.00
1488425049,1.34,38,0.03,980.00,0.00,10.00
1488425050,1.25,22,0.03,440.00,0.00,6.00
1488425051,1.32,23,0.03,1580.00,0.00,15.00
1488425052,1.25,28,0.03,1568.00,0.00,13.00
1488425053,1.23,27,0.03,760.00,0.00,8.00
1488425054,1.25,33,0.03,1740.00,0.00,17.00
1488425055,1.18,35,0.03,388.00,0.00,4.00
1488425056,1.27,35,0.03,1792.00,0.00,13.00
1488425057,1.18,39,0.03,2124.00,0.00,20.00
1488425058,1.23,43,0.03,956.00,0.00,10.00
1488425059,1.30,22,0.03,1832.00,0.00,15.00
1488425060,1.34,25,0.03,1520.00,0.00,15.00
1488425061,1.27,29,0.03,1476.00,0.00,18.00
1488425062,1.23,31,0.04,632.00,0.00,5.00
1488425063,1.27,27,0.04,1916.00,0.00,16.00
1488425064,1.14,33,0.04,3532.00,0.00,33.00
1488425065,1.25,40,0.04,1104.00,0.00,6.00
1488425066,1.39,25,0.04,636.00,0.00,7.00
1488425067,1.16,28,0.04,1156.00,0.00,11.00
1488425068,1.18,29,0.04,600.00,0.00,7.00
1488425069,1.23,30,0.06,2128.00,0.00,21.00
