num_parallel_vcf_files,segment_size,compress_tiledb_array,num_cells_per_tile,column_partitions,size_per_column_partition,do_ping_pong_buffering,Wall Clock (sec),Involunteer Context Switch,Command,CPU %,File System Input,Major Page Fault,Exit Code,File System Output,Minor Page Fault,Volunteer Context Switch,Fetch from VCF_Wall-clock time(s),Fetch from VCF_Cpu time(s),Fetch from VCF_Critical path wall-clock time(s),Fetch from VCF_Critical path Cpu time(s),Fetch from VCF_#critical path,Combining Cells_Wall-clock time(s),Combining Cells_Cpu time(s),Combining Cells_Critical path wall-clock time(s),Combining Cells_Critical path Cpu time(s),Combining Cells_#critical path,Flush Output_Wall-clock time(s),Flush Output_Cpu time(s),Flush Output_Critical path wall-clock time(s),Flush Output_Critical path Cpu time(s),Flush Output_#critical path,sections time_Wall-clock time(s),sections time_Cpu time(s),sections time_Critical path wall-clock time(s),sections time_Critical path Cpu time(s),sections time_#critical path,time in single thread phase()_Wall-clock time(s),time in single thread phase()_Cpu time(s),time in single thread phase()_Critical path wall-clock time(s),time in single thread phase()_Critical path Cpu time(s),time in single thread phase()_#critical path,time in read_all()_Wall-clock time(s),time in read_all()_Cpu time(s),time in read_all()_Critical path wall-clock time(s),time in read_all()_Critical path Cpu time(s),time in read_all()_#critical path
1,10,true,1000,16*,100,false,774.75,3289832,vcf2tiledb compute-2-27.json,96%,5077,34,0,3617816,1307879,12850,269.031,263.515,225.84,220.333,70091,457.678,454.875,422.104,419.317,16023,0,0,0,0,0,726.759,718.487,0,0,0,0.040972,0.0416879,0,0,0,726.856,718.584,0,0,0
1,1*,true,1000,16*,100,false,779.57,3291248,vcf2tiledb compute-2-28.json,95%,4684,34,0,3617448,1319397,18119,267.225,261.299,260.032,254.111,83265,446.642,446.011,396.387,395.779,2849,0,0,0,0,0,713.918,707.405,0,0,0,0.040097,0.0404672,0,0,0,714.011,707.498,0,0,0
1,[100, 'KB']*,true,1000,16*,100,false,780.79,3289160,vcf2tiledb compute-2-26.json,96%,5041,34,0,3617456,1330150,14434,277.282,270.798,127.564,121.117,32681,458.105,455.51,450.793,448.208,53433,0,0,0,0,0,735.438,726.413,0,0,0,0.040521,0.0417428,0,0,0,735.535,726.51,0,0,0
1,[100, 'KB']*,true,1000,16*,10*,false,788.44,3288712,vcf2tiledb compute-2-24.json,96%,5420,34,0,3617528,1375677,17483,295.659,289.916,286.708,280.974,832173,450.257,449.112,406.823,405.737,30796,0,0,0,0,0,746.378,739.764,0,0,0,0.352178,0.352328,0,0,0,747.245,740.628,0,0,0
1,[10, 'KB']*,true,1000,16*,100,false,790.63,3288432,vcf2tiledb compute-2-29.json,95%,4509,34,0,3618976,1333319,19484,265.123,259.434,255.572,249.884,82309,463.113,462.815,404.385,404.107,3805,0,0,0,0,0,728.285,722.34,0,0,0,0.038795,0.0397391,0,0,0,728.379,722.434,0,0,0
1,[10, 'KB']*,true,1000,16*,10*,false,803.15,3289352,vcf2tiledb compute-2-23.json,96%,4607,34,0,3617736,1357800,13644,297.648,292.026,285.556,279.944,822223,454.106,452.735,411.571,410.248,40746,0,0,0,0,0,752.234,745.518,0,0,0,0.365482,0.369671,0,0,0,753.133,746.413,0,0,0
1,1*,true,1000,16*,10*,false,816.69,3289632,vcf2tiledb compute-2-22.json,95%,14509,32,0,5074,3618176,1327783,299.768,293.796,268.909,262.966,761843,462.69,456.993,426.519,420.877,101126,0,0,0,0,0,762.937,751.581,0,0,0,0.364098,0.366823,0,0,0,763.826,752.466,0,0,0
1,10,true,1000,16*,10*,false,828.39,3288792,vcf2tiledb compute-2-25.json,95%,33,23769,0,4503,3618160,1357598,295.783,290.061,281.549,275.84,814772,468.211,467.352,414.769,413.978,48197,0,0,0,0,0,764.459,758.124,0,0,0,0.342296,0.34415,0,0,0,765.303,758.964,0,0,0
