Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425028,1.38,16,0.00,196.00,0.00,5.00
1488425029,1.57,19,0.00,1196.00,0.00,18.00
1488425030,1.44,18,0.01,1816.00,0.00,34.00
1488425031,1.57,16,0.01,2376.00,0.00,17.00
1488425032,1.48,0,0.01,1992.00,0.00,26.00
1488425033,1.66,16,0.01,720.00,0.00,4.00
1488425034,1.66,20,0.01,1716.00,0.00,8.00
1488425035,1.61,21,0.01,988.00,0.00,10.00
1488425036,1.43,1,0.01,1812.00,0.00,12.00
1488425037,1.55,2,0.01,212.00,0.00,1.00
1488425038,1.68,19,0.01,552.00,0.00,6.00
1488425039,1.32,21,0.02,3540.00,0.00,26.00
1488425040,1.45,16,0.02,2968.00,0.00,26.00
1488425041,1.43,21,0.02,136.00,0.00,5.00
1488425042,1.37,18,0.02,2084.00,0.00,9.00
1488425043,1.39,17,0.02,1792.00,0.00,9.00
1488425044,1.57,1,0.02,256.00,0.00,8.00
1488425045,1.39,1,0.02,1988.00,0.00,26.00
1488425046,1.52,16,0.02,576.00,0.00,10.00
1488425047,1.52,3,0.02,1364.00,0.00,7.00
1488425048,1.09,16,0.02,3096.00,0.00,16.00
1488425049,1.44,3,0.03,1884.00,0.00,16.00
1488425050,1.55,16,0.03,2964.00,0.00,5.00
1488425051,1.46,6,0.03,2112.00,0.00,17.00
1488425052,1.64,2,0.03,1036.00,0.00,7.00
1488425053,1.59,19,0.03,68.00,0.00,3.00
1488425054,1.59,18,0.03,320.00,0.00,1.00
1488425055,1.32,3,0.03,1076.00,0.00,16.00
1488425056,1.64,17,0.03,720.00,0.00,1.00
1488425057,1.14,16,0.03,4776.00,0.00,50.00
1488425058,1.50,17,0.04,1320.00,0.00,19.00
1488425059,1.48,0,0.04,0.00,0.00,3.00
1488425060,1.66,21,0.04,2792.00,0.00,25.00
1488425061,1.59,18,0.04,1272.00,0.00,3.00
1488425062,1.48,0,0.04,1212.00,0.00,7.00
