Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425370,1.16,30,0.00,3624.00,0.00,32.00
1488425371,1.32,31,0.01,2004.00,0.00,17.00
1488425372,1.16,33,0.01,4060.00,0.00,34.00
1488425373,1.14,22,0.01,1176.00,0.00,19.00
1488425374,1.23,37,0.01,3292.00,0.00,27.00
1488425375,1.30,39,0.01,4060.00,0.00,41.00
1488425376,1.23,41,0.01,5092.00,0.00,43.00
1488425377,1.20,43,0.01,5240.00,0.00,49.00
1488425378,1.32,24,0.01,4160.00,0.00,34.00
1488425379,1.39,22,0.01,2240.00,0.00,20.00
1488425380,1.30,27,0.01,2512.00,0.00,24.00
1488425381,1.27,30,0.01,1484.00,0.00,14.00
1488425382,1.30,23,0.01,3184.00,0.00,28.00
1488425383,1.23,22,0.01,2892.00,0.00,16.00
1488425384,1.32,23,0.01,2016.00,0.00,15.00
1488425385,1.23,23,0.01,1092.00,0.00,10.00
1488425386,1.20,27,0.02,4720.00,0.00,41.00
1488425387,1.27,32,0.02,4184.00,0.00,31.00
1488425388,1.25,32,0.02,1312.00,0.00,10.00
1488425389,1.14,34,0.02,3264.00,0.00,30.00
1488425390,1.27,35,0.02,2020.00,0.00,21.00
1488425391,1.23,35,0.02,1704.00,0.00,18.00
1488425392,1.34,36,0.02,3076.00,0.00,28.00
1488425393,1.30,38,0.02,2348.00,0.00,19.00
1488425394,1.23,39,0.02,1572.00,0.00,16.00
1488425395,1.27,40,0.02,3400.00,0.00,28.00
1488425396,1.23,23,0.02,1552.00,0.00,14.00
1488425397,1.32,27,0.02,3336.00,0.00,19.00
1488425398,1.16,28,0.02,3856.00,0.00,30.00
1488425399,1.23,32,0.02,5276.00,0.00,42.00
1488425400,1.25,33,0.02,3060.00,0.00,26.00
1488425401,1.20,35,0.02,4816.00,0.00,34.00
1488425402,0.89,37,0.03,2844.00,0.00,20.00
1488425403,1.25,40,0.03,2488.00,0.00,24.00
1488425404,1.27,42,0.03,2964.00,0.00,35.00
1488425405,1.20,42,0.03,3820.00,0.00,29.00
1488425406,1.18,23,0.03,2804.00,0.00,23.00
1488425407,1.41,22,0.03,1904.00,0.00,13.00
1488425408,1.23,24,0.03,1016.00,0.00,11.00
1488425409,1.23,26,0.03,2088.00,0.00,18.00
1488425410,1.30,22,0.03,1376.00,0.00,13.00
1488425411,1.30,30,0.03,1848.00,0.00,18.00
1488425412,1.30,31,0.03,988.00,0.00,11.00
1488425413,1.32,34,0.03,2652.00,0.00,24.00
1488425414,1.30,39,0.03,1884.00,0.00,17.00
1488425415,1.25,41,0.03,972.00,0.00,14.00
1488425416,1.30,43,0.03,4564.00,0.00,44.00
1488425417,1.25,43,0.03,4576.00,0.00,34.00
