Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488416016,1.18,17,0.00,1044.00,0.00,15.00
1488416017,1.27,19,0.00,2720.79,0.00,32.67
1488416018,1.25,21,0.00,1160.00,0.00,32.00
1488416019,1.21,17,0.01,2404.00,0.00,27.00
1488416020,1.14,17,0.01,2524.00,0.00,11.00
1488416021,1.32,2,0.01,704.00,0.00,17.00
1488416022,1.23,1,0.01,1684.00,0.00,19.00
1488416023,1.34,1,0.01,1268.00,0.00,8.00
1488416024,1.16,17,0.01,2456.00,0.00,26.00
1488416025,1.48,0,0.01,252.00,0.00,16.00
1488416026,1.27,17,0.01,732.00,0.00,17.00
1488416027,1.25,7,0.01,1584.00,0.00,10.00
1488416028,1.27,21,0.01,1940.00,0.00,17.00
1488416029,1.21,0,0.01,1812.00,0.00,23.00
1488416030,1.11,17,0.01,2308.00,0.00,22.00
1488416031,1.34,0,0.01,1628.00,0.00,4.00
1488416032,1.30,18,0.01,1184.00,0.00,23.00
1488416033,1.14,18,0.01,1228.00,0.00,20.00
1488416034,1.16,19,0.02,1336.00,0.00,19.00
1488416035,1.25,0,0.02,1156.00,0.00,28.00
1488416036,1.20,16,0.02,1560.00,0.00,6.00
1488416037,1.16,7,0.02,1132.00,0.00,33.00
1488416038,1.23,16,0.02,1316.00,0.00,24.00
1488416039,1.25,16,0.02,336.00,0.00,14.00
1488416040,1.23,19,0.02,2008.00,0.00,16.00
1488416041,1.30,17,0.02,872.00,0.00,8.00
1488416042,1.25,7,0.02,752.00,0.00,14.00
1488416043,1.25,18,0.02,1936.00,0.00,12.00
1488416044,1.23,16,0.02,1320.00,0.00,13.00
1488416045,1.27,19,0.02,264.00,0.00,15.00
1488416046,1.25,17,0.02,1724.00,0.00,22.00
1488416047,1.23,20,0.02,1836.00,0.00,31.00
1488416048,1.23,17,0.03,2428.00,0.00,13.00
1488416049,1.23,17,0.03,736.00,0.00,2.00
1488416050,1.32,0,0.03,2428.00,0.00,17.00
1488416051,1.18,0,0.03,3012.00,0.00,21.00
1488416052,1.23,18,0.03,3348.00,0.00,26.00
1488416053,1.27,21,0.03,1332.00,0.00,13.00
1488416054,1.23,16,0.03,1276.00,0.00,25.00
1488416055,1.25,19,0.03,1988.00,0.00,15.00
1488416056,1.23,17,0.03,2144.00,0.00,20.00
1488416057,1.18,16,0.03,3224.00,0.00,25.00
1488416058,1.11,18,0.03,2060.00,0.00,16.00
1488416059,1.32,18,0.03,648.00,0.00,21.00
1488416060,1.37,19,0.03,1272.00,0.00,6.00
1488416061,1.27,17,0.03,1732.00,0.00,8.00
1488416062,1.27,16,0.03,1320.00,0.00,14.00
1488416063,1.27,19,0.03,692.00,0.00,7.00
1488416064,1.20,19,0.04,1152.00,0.00,30.00
1488416065,1.23,18,0.04,1624.00,0.00,28.00
1488416066,1.34,18,0.04,1364.00,0.00,6.00
1488416067,1.23,0,0.04,1428.00,0.00,6.00
1488416068,1.07,19,0.04,1960.00,0.00,20.00
1488416069,1.32,18,0.04,1116.00,0.00,9.00
1488416070,2.07,0,0.20,4.00,4.00,3.00
1488416071,2.14,16,0.20,8.00,0.00,2.00
1488416072,2.00,16,0.21,68.00,0.00,5.00
1488416073,2.02,18,0.21,0.00,0.00,2.00
1488416074,2.00,16,0.21,8.00,0.00,1.00
1488416075,2.02,19,0.21,0.00,0.00,6.00
1488416076,2.05,19,0.21,0.00,0.00,0.00
1488416077,1.95,16,0.22,28.00,0.00,1.00
