Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488413974,1.20,24,0.00,11860.00,0.00,103.00
1488413975,1.18,24,0.00,11924.00,0.00,104.00
1488413976,1.20,24,0.01,11644.00,0.00,107.00
1488413977,1.25,25,0.01,12328.00,0.00,111.00
1488413978,1.30,25,0.01,11224.00,0.00,106.00
1488413979,1.25,25,0.01,13680.00,0.00,122.00
1488413980,1.20,25,0.01,12028.00,0.00,115.00
1488413981,1.25,26,0.01,12104.00,0.00,109.00
1488413982,1.30,27,0.01,12044.00,0.00,112.00
1488413983,1.25,28,0.01,12428.00,0.00,115.00
1488413984,1.14,28,0.01,12096.00,0.00,107.00
1488413985,1.21,28,0.01,12448.00,0.00,112.00
1488413986,1.36,29,0.01,12532.00,0.00,116.00
1488413987,1.30,30,0.01,12392.08,0.00,113.86
1488413988,1.23,30,0.01,11852.00,0.00,110.00
1488413989,1.16,30,0.01,12296.00,0.00,107.00
1488413990,1.25,31,0.02,12052.00,0.00,110.00
1488413991,1.25,31,0.01,12084.00,0.00,111.00
1488413992,1.23,31,0.02,11696.00,0.00,109.00
1488413993,1.16,31,0.02,12536.00,0.00,113.00
1488413994,1.18,31,0.02,12532.00,0.00,110.00
1488413995,1.18,31,0.02,11880.00,0.00,112.00
1488413996,1.18,31,0.02,12544.00,0.00,115.00
1488413997,1.25,31,0.02,12608.00,0.00,121.00
1488413998,1.18,31,0.02,12620.00,0.00,119.00
1488413999,1.32,31,0.02,12496.00,0.00,116.00
1488414000,1.30,32,0.02,11904.00,0.00,111.00
1488414001,1.02,33,0.02,10416.00,0.00,98.00
1488414002,0.96,33,0.02,9024.00,0.00,85.00
1488414003,1.23,33,0.02,11832.00,0.00,110.00
1488414004,1.14,33,0.02,12480.00,0.00,116.00
1488414005,1.25,34,0.02,11776.00,0.00,113.00
1488414006,1.11,34,0.03,11936.00,0.00,113.00
1488414007,1.18,34,0.03,11812.00,0.00,108.00
1488414008,1.27,34,0.03,11860.00,0.00,109.00
1488414009,1.18,34,0.03,11980.00,0.00,114.00
1488414010,1.14,34,0.03,13128.00,0.00,118.00
1488414011,1.23,35,0.03,11588.00,0.00,105.00
1488414012,1.32,35,0.03,13316.00,0.00,123.00
1488414013,1.20,35,0.03,12116.00,0.00,112.00
1488414014,1.23,35,0.03,12300.00,0.00,108.00
1488414015,1.25,35,0.03,13008.00,0.00,118.00
1488414016,1.23,38,0.03,12268.00,0.00,110.00
1488414017,1.30,38,0.03,11608.00,0.00,114.00
1488414018,1.18,38,0.03,12044.00,0.00,112.00
1488414019,1.30,38,0.03,12292.00,0.00,118.00
1488414020,1.25,38,0.03,12004.00,0.00,111.00
1488414021,1.23,38,0.03,11992.00,0.00,114.00
1488414022,1.18,38,0.03,12740.00,0.00,117.00
1488414023,1.30,39,0.04,13364.00,0.00,119.00
1488414024,1.27,39,0.04,12116.00,0.00,112.00
1488414025,1.18,40,0.04,12556.00,0.00,117.00
1488414026,1.27,40,0.04,13772.00,0.00,124.00
1488414027,1.25,40,0.04,12112.00,0.00,114.00
1488414028,1.23,40,0.04,12504.00,0.00,114.00
1488414029,1.21,41,0.04,12560.00,0.00,116.00
1488414030,1.57,42,0.20,4900.00,28.00,50.00
1488414031,1.93,42,0.20,92.00,0.00,1.00
1488414032,1.95,42,0.21,112.00,0.00,1.00
1488414033,1.98,42,0.21,108.00,0.00,1.00
1488414034,1.96,42,0.21,108.00,0.00,1.00
1488414035,1.91,42,0.21,112.00,0.00,2.00
1488414036,1.95,42,0.21,104.00,0.00,1.00
1488414037,1.89,42,0.22,112.00,0.00,1.00
1488414038,1.93,42,0.22,104.00,0.00,1.00
1488414039,1.93,42,0.22,108.00,0.00,1.00
1488414040,1.89,42,0.22,108.00,0.00,2.00
1488414041,2.00,42,0.22,112.00,0.00,1.00
1488414042,2.02,42,0.23,112.00,0.00,1.00
1488414043,1.84,42,0.23,104.00,0.00,1.00
1488414044,1.89,42,0.23,104.00,0.00,2.00
1488414045,1.93,42,0.23,108.00,0.00,1.00
1488414046,1.89,42,0.24,104.00,0.00,2.00
1488414047,1.93,42,0.24,104.00,0.00,1.00
