Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425028,1.29,21,0.00,820.00,0.00,4.00
1488425029,1.57,20,0.01,1808.00,0.00,7.00
1488425030,1.28,17,0.01,2120.00,0.00,26.00
1488425031,1.37,1,0.01,2148.00,0.00,47.00
1488425032,1.57,16,0.01,524.00,0.00,6.00
1488425033,1.48,9,0.01,948.00,0.00,22.00
1488425034,1.64,1,0.01,560.00,0.00,2.00
1488425035,1.50,17,0.01,1760.00,0.00,20.00
1488425036,1.39,18,0.01,1732.00,0.00,10.00
1488425037,1.52,1,0.01,1360.00,0.00,10.00
1488425038,1.64,0,0.01,280.00,0.00,5.00
1488425039,1.55,0,0.02,252.00,0.00,2.00
1488425040,1.68,1,0.02,0.00,0.00,1.00
1488425041,1.39,20,0.02,748.00,0.00,2.00
1488425042,1.52,20,0.02,0.00,0.00,1.00
1488425043,1.53,2,0.02,176.00,0.00,1.00
1488425044,1.62,0,0.02,1364.00,0.00,12.00
1488425045,1.53,2,0.02,168.00,0.00,6.00
1488425046,1.50,2,0.02,1984.00,0.00,12.00
1488425047,1.52,2,0.02,2592.00,0.00,21.00
1488425048,1.43,20,0.02,172.00,0.00,3.00
1488425049,1.41,19,0.03,732.00,0.00,16.00
1488425050,1.52,0,0.03,1324.00,0.00,2.00
1488425051,1.43,2,0.03,324.00,0.00,4.00
1488425052,1.66,3,0.03,1088.00,0.00,10.00
1488425053,1.50,18,0.03,748.00,0.00,2.00
1488425054,1.43,2,0.03,1128.00,0.00,11.00
1488425055,1.43,16,0.03,976.00,0.00,3.00
1488425056,1.61,16,0.03,1124.00,0.00,15.00
1488425057,1.32,0,0.03,1548.00,0.00,13.00
1488425058,1.57,11,0.04,684.00,0.00,3.00
1488425059,1.41,17,0.04,1932.00,0.00,17.00
1488425060,1.71,18,0.04,496.00,0.00,2.00
1488425061,1.66,4,0.04,8.00,0.00,3.00
1488425062,1.41,17,0.04,2484.00,0.00,23.00
