Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425370,1.25,16,0.00,3304.00,0.00,31.00
1488425371,1.30,16,0.01,3500.00,0.00,39.00
1488425372,1.20,17,0.01,2888.00,0.00,23.00
1488425373,1.02,16,0.01,4556.00,0.00,49.00
1488425374,1.18,16,0.01,2328.00,0.00,23.00
1488425375,1.34,18,0.01,2800.00,0.00,31.00
1488425376,1.27,17,0.01,3852.00,0.00,36.00
1488425377,1.32,0,0.01,724.00,0.00,4.00
1488425378,1.36,17,0.01,2060.00,0.00,19.00
1488425379,1.32,17,0.01,2076.00,0.00,34.00
1488425380,1.23,17,0.01,3748.00,0.00,32.00
1488425381,1.25,16,0.01,4748.00,0.00,46.00
1488425382,1.23,17,0.01,3256.00,0.00,43.00
1488425383,1.20,17,0.01,3336.00,0.00,38.00
1488425384,1.23,16,0.01,3256.00,0.00,34.00
1488425385,1.23,17,0.01,3556.00,0.00,25.00
1488425386,1.30,17,0.02,872.00,0.00,16.00
1488425387,1.23,17,0.02,3548.00,0.00,36.00
1488425388,1.16,16,0.02,4932.00,0.00,47.00
1488425389,1.18,16,0.02,5840.00,0.00,56.00
1488425390,1.18,16,0.02,4236.00,0.00,41.00
1488425391,1.25,16,0.02,4840.00,0.00,43.00
1488425392,1.25,16,0.02,6392.00,0.00,62.00
1488425393,1.25,16,0.02,2968.00,0.00,42.00
1488425394,1.27,17,0.02,2412.00,0.00,30.00
1488425395,1.32,16,0.02,4396.00,0.00,31.00
1488425396,1.27,0,0.02,1184.00,0.00,16.00
1488425397,1.25,16,0.02,3400.00,0.00,38.00
1488425398,1.16,17,0.02,2800.00,0.00,34.00
1488425399,1.23,16,0.02,2736.00,0.00,18.00
1488425400,1.23,16,0.02,4104.00,0.00,35.00
1488425401,1.27,16,0.02,3828.00,0.00,42.00
1488425402,0.95,16,0.03,1296.00,0.00,10.00
1488425403,1.23,17,0.03,1904.00,0.00,16.00
1488425404,1.39,16,0.03,2676.00,0.00,33.00
1488425405,1.16,17,0.03,4056.00,0.00,44.00
1488425406,1.30,18,0.03,3784.00,0.00,21.00
1488425407,1.36,17,0.03,3968.00,0.00,38.00
1488425408,1.25,17,0.03,2732.00,0.00,9.00
1488425409,1.21,16,0.03,5716.00,0.00,51.00
1488425410,1.23,0,0.03,3648.00,0.00,23.00
1488425411,1.23,17,0.03,6836.00,0.00,67.00
1488425412,1.23,18,0.03,3544.00,0.00,36.00
1488425413,1.34,16,0.03,3160.00,0.00,35.00
1488425414,1.25,16,0.03,3048.00,0.00,33.00
1488425415,1.18,17,0.03,3888.00,0.00,44.00
1488425416,1.36,16,0.03,1008.00,0.00,10.00
1488425417,1.27,16,0.03,2428.00,0.00,25.00
1488425418,1.23,17,0.04,3152.00,0.00,29.00
1488425419,1.27,16,0.04,5176.00,0.00,46.00
1488425420,1.36,17,0.04,2628.00,0.00,22.00
1488425421,1.27,16,0.04,3780.00,0.00,41.00
1488425422,1.25,17,0.04,4380.00,0.00,40.00
1488425423,1.30,17,0.04,3680.00,0.00,39.00
1488425424,1.68,17,0.20,1584.00,0.00,3.00
1488425425,1.57,17,0.20,16.00,0.00,0.00
1488425426,1.50,17,0.20,24.00,0.00,2.00
1488425427,1.61,21,0.20,12.00,0.00,2.00
1488425428,1.68,21,0.21,0.00,0.00,0.00
1488425429,1.57,0,0.21,4.00,0.00,1.00
1488425430,1.66,2,0.21,4.00,0.00,4.00
1488425431,1.55,17,0.21,4.00,0.00,2.00
1488425432,1.52,0,0.21,4.00,0.00,1.00
1488425433,1.50,16,0.21,4.00,0.00,4.00
1488425434,1.66,16,0.21,16.00,0.00,8.00
1488425435,1.70,17,0.21,0.00,0.00,0.00
1488425436,1.48,17,0.21,8.00,0.00,0.00
1488425437,1.50,17,0.21,4.00,0.00,0.00
1488425438,1.52,16,0.21,16.00,0.00,2.00
1488425439,1.61,19,0.21,0.00,0.00,1.00
1488425440,1.91,16,0.22,12.00,0.00,7.00
1488425441,1.98,16,0.22,88.00,0.00,0.00
1488425442,2.00,17,0.22,44.00,0.00,0.00
1488425443,2.27,17,0.22,0.00,0.00,0.00
1488425444,2.11,16,0.22,24.00,0.00,0.00
1488425445,2.02,20,0.22,0.00,0.00,0.00
1488425446,1.95,16,0.23,32.00,0.00,0.00
1488425447,2.02,16,0.23,0.00,0.00,0.00
1488425448,1.98,17,0.23,8.00,0.00,0.00
1488425449,2.00,16,0.23,84.00,0.00,0.00
1488425450,1.95,17,0.24,44.00,0.00,0.00
1488425451,2.27,17,0.24,0.00,0.00,0.00
1488425452,1.98,17,0.24,8.00,0.00,0.00
1488425453,2.07,1,0.24,24.00,0.00,0.00
1488425454,2.27,1,0.24,0.00,0.00,0.00
1488425455,2.16,1,0.25,0.00,0.00,0.00
1488425456,1.95,1,0.25,0.00,0.00,0.00
1488425457,2.02,16,0.25,4.00,0.00,0.00
1488425458,2.00,16,0.25,0.00,0.00,0.00
1488425459,1.95,17,0.25,16.00,0.00,0.00
1488425460,2.00,17,0.25,0.00,0.00,0.00
1488425461,1.95,17,0.26,24.00,0.00,0.00
1488425462,1.95,17,0.26,0.00,0.00,0.00
1488425463,2.05,16,0.26,0.00,0.00,1.00
1488425464,2.30,16,0.26,0.00,0.00,15.00
1488425465,2.23,2,0.26,0.00,0.00,3.00
1488425466,2.27,2,0.26,0.00,0.00,0.00
1488425467,2.02,16,0.27,80.00,0.00,0.00
1488425468,1.95,17,0.27,60.00,0.00,0.00
1488425469,1.93,16,0.27,60.00,0.00,0.00
1488425470,2.27,0,0.27,0.00,0.00,8.00
1488425471,2.20,0,0.28,0.00,0.00,7.00
1488425472,2.09,16,0.27,60.00,0.00,1.00
1488425473,2.23,16,0.28,0.00,3224.00,12.00
1488425474,2.27,16,0.28,0.00,3860.00,24.00
1488425475,2.27,16,0.28,0.00,3168.00,0.00
1488425476,2.30,16,0.28,0.00,0.00,0.00
1488425477,2.25,16,0.28,0.00,1892.00,0.00
1488425478,2.27,17,0.28,0.00,3800.00,36.00
1488425479,2.27,17,0.28,0.00,4408.00,10.00
1488425480,2.30,17,0.28,0.00,404.00,0.00
1488425481,2.27,17,0.28,0.00,0.00,0.00
1488425482,2.25,17,0.28,0.00,2144.00,0.00
1488425483,2.27,16,0.28,0.00,3748.00,33.00
1488425484,2.27,16,0.28,0.00,4520.00,10.00
1488425485,2.27,16,0.28,0.00,32.00,17.00
1488425486,2.27,16,0.28,0.00,1944.00,15.00
1488425487,2.30,16,0.28,0.00,3632.00,30.00
1488425488,2.25,16,0.28,0.00,4256.00,11.00
1488425489,2.27,16,0.28,0.00,512.00,0.00
1488425490,2.27,16,0.28,0.00,0.00,40.00
1488425491,2.30,16,0.28,0.00,2592.00,9.00
1488425492,2.27,16,0.28,0.00,3696.00,36.00
1488425493,2.25,16,0.28,0.00,4012.00,12.00
1488425494,2.27,16,0.28,0.00,0.00,22.00
1488425495,2.27,16,0.28,0.00,644.00,22.00
1488425496,2.27,16,0.28,0.00,3328.00,33.00
1488425497,2.27,16,0.28,0.00,4108.00,11.00
1488425498,2.27,16,0.28,0.00,2280.00,24.00
1488425499,2.30,16,0.28,0.00,0.00,8.00
1488425500,2.25,16,0.28,0.00,2008.00,3.00
1488425501,2.27,16,0.28,0.00,3640.00,37.00
1488425502,2.27,16,0.28,0.00,4336.00,9.00
1488425503,2.30,16,0.28,0.00,244.00,4.00
1488425504,2.25,16,0.28,0.00,64.00,0.00
1488425505,2.27,16,0.28,0.00,3528.00,25.00
1488425506,2.27,16,0.28,0.00,4099.01,17.82
1488425507,2.27,16,0.28,0.00,3128.00,0.00
1488425508,2.27,16,0.28,0.00,0.00,2.00
1488425509,2.27,16,0.28,0.00,1272.00,1.00
1488425510,2.27,16,0.28,0.00,3592.00,32.00
