Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425028,1.20,38,0.00,1628.00,0.00,17.00
1488425029,1.57,40,0.01,3008.00,0.00,19.00
1488425030,1.34,23,0.01,2200.00,0.00,18.00
1488425031,1.55,31,0.01,196.00,0.00,4.00
1488425032,1.53,24,0.01,668.00,0.00,8.00
1488425033,1.57,26,0.01,652.00,0.00,8.00
1488425034,1.73,26,0.01,16.00,0.00,3.00
1488425035,1.73,28,0.01,0.00,0.00,0.00
1488425036,1.57,23,0.01,432.00,0.00,4.00
1488425037,1.61,25,0.01,88.00,0.00,1.00
1488425038,1.59,31,0.01,148.00,0.00,3.00
1488425039,1.52,43,0.02,364.00,0.00,2.00
1488425040,1.55,41,0.02,1612.00,0.00,11.00
1488425041,1.52,23,0.02,72.00,0.00,1.00
1488425042,1.43,31,0.02,864.00,0.00,6.00
1488425043,1.55,37,0.02,72.00,0.00,0.00
1488425044,1.80,43,0.02,56.00,0.00,1.00
1488425045,1.46,41,0.02,228.00,0.00,2.00
1488425046,1.61,23,0.02,2160.00,0.00,18.00
1488425047,1.45,41,0.02,2264.00,0.00,21.00
1488425048,1.41,41,0.02,80.00,0.00,2.00
1488425049,1.57,22,0.03,416.00,0.00,5.00
1488425050,1.59,33,0.03,548.00,0.00,5.00
1488425051,1.57,22,0.03,120.00,0.00,2.00
1488425052,1.57,24,0.03,1036.00,0.00,9.00
1488425053,1.52,30,0.03,132.00,0.00,3.00
1488425054,1.64,33,0.03,0.00,0.00,1.00
1488425055,1.55,31,0.03,284.00,0.00,2.00
1488425056,1.71,26,0.03,16.00,0.00,3.00
1488425057,1.59,29,0.03,72.00,0.00,2.00
1488425058,1.43,23,0.03,1604.00,0.00,10.00
1488425059,1.46,23,0.04,612.00,0.00,6.00
1488425060,1.80,32,0.04,636.00,0.00,7.00
1488425061,1.62,22,0.04,264.00,0.00,4.00
1488425062,1.34,43,0.04,5940.00,0.00,45.00
