Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425068,1.27,32,0.00,1093.07,0.00,6.93
1488425069,1.57,23,0.01,212.00,0.00,4.00
1488425070,1.66,26,0.01,264.00,0.00,2.00
1488425071,1.59,23,0.01,840.00,0.00,8.00
1488425072,1.50,32,0.01,708.00,0.00,6.00
1488425073,1.73,34,0.01,56.00,0.00,0.00
1488425074,1.68,39,0.01,644.00,0.00,6.00
1488425075,1.71,35,0.01,8.00,0.00,1.00
1488425076,1.61,26,0.01,588.00,0.00,4.00
1488425077,1.57,26,0.01,16.00,0.00,4.00
1488425078,1.77,28,0.01,120.00,0.00,3.00
1488425079,1.46,30,0.02,1376.00,0.00,9.00
1488425080,1.66,41,0.02,0.00,0.00,1.00
1488425081,1.46,35,0.02,392.00,0.00,3.00
1488425082,1.48,35,0.02,0.00,0.00,2.00
1488425083,1.52,41,0.02,608.00,0.00,10.00
1488425084,1.75,24,0.02,0.00,0.00,1.00
1488425085,1.52,25,0.02,328.00,0.00,5.00
1488425086,1.39,28,0.02,1448.00,0.00,19.00
1488425087,1.66,25,0.02,788.00,0.00,8.00
1488425088,1.43,25,0.02,20.00,0.00,1.00
1488425089,1.50,36,0.03,2648.00,0.00,27.00
1488425090,1.50,25,0.03,1524.00,0.00,13.00
1488425091,1.62,32,0.03,0.00,0.00,1.00
1488425092,1.64,41,0.03,36.00,0.00,1.00
1488425093,1.50,41,0.03,312.00,0.00,4.00
1488425094,1.39,23,0.03,2836.00,0.00,29.00
1488425095,1.48,30,0.03,1268.00,0.00,11.00
1488425096,1.69,43,0.03,1292.00,0.00,8.00
1488425097,1.57,27,0.04,0.00,0.00,2.00
1488425098,1.59,27,0.04,0.00,0.00,0.00
1488425099,1.66,34,0.04,1096.00,0.00,7.00
1488425100,1.57,34,0.04,0.00,0.00,1.00
1488425101,1.57,35,0.04,312.00,0.00,3.00
1488425102,1.41,26,0.04,760.00,0.00,8.00
1488425103,1.93,28,0.20,0.00,0.00,0.00
1488425104,2.02,28,0.20,0.00,0.00,1.00
1488425105,2.02,30,0.20,0.00,0.00,0.00
1488425106,1.98,30,0.21,0.00,0.00,0.00
1488425107,2.27,32,0.21,0.00,0.00,0.00
1488425108,2.02,32,0.21,0.00,0.00,0.00
1488425109,2.07,32,0.21,0.00,0.00,0.00
1488425110,2.00,32,0.21,0.00,0.00,0.00
1488425111,2.00,32,0.22,0.00,0.00,0.00
1488425112,2.09,32,0.22,0.00,0.00,1.00
1488425113,2.05,32,0.22,0.00,0.00,0.00
1488425114,2.09,32,0.22,0.00,0.00,1.00
1488425115,2.05,32,0.22,0.00,0.00,0.00
1488425116,2.07,32,0.22,0.00,0.00,1.00
1488425117,2.05,32,0.22,0.00,0.00,0.00
1488425118,2.14,32,0.23,0.00,0.00,1.00
1488425119,2.00,32,0.23,0.00,0.00,0.00
