Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425068,1.29,20,0.00,566.34,0.00,12.87
1488425069,1.48,16,0.01,268.00,0.00,8.00
1488425070,1.73,15,0.01,0.00,0.00,0.00
1488425071,1.48,18,0.01,1960.00,0.00,10.00
1488425072,1.52,20,0.01,0.00,0.00,2.00
1488425073,1.66,2,0.01,608.00,0.00,7.00
1488425074,1.68,2,0.01,0.00,0.00,1.00
1488425075,1.59,3,0.01,1180.00,0.00,6.00
1488425076,1.39,16,0.01,3684.00,0.00,20.00
1488425077,1.48,21,0.01,412.00,0.00,11.00
1488425078,1.64,4,0.01,420.00,0.00,3.00
1488425079,1.55,20,0.02,396.00,0.00,11.00
1488425080,1.59,17,0.02,4.00,0.00,4.00
1488425081,1.21,16,0.02,2592.00,0.00,13.00
1488425082,1.25,0,0.02,3520.00,0.00,47.00
1488425083,1.48,21,0.02,228.00,0.00,10.00
1488425084,1.57,16,0.02,4120.00,0.00,31.00
1488425085,1.48,17,0.02,1204.00,0.00,8.00
1488425086,1.43,21,0.02,1148.00,0.00,8.00
1488425087,1.48,19,0.02,1664.00,0.00,18.00
1488425088,1.41,20,0.02,408.00,0.00,21.00
1488425089,1.61,20,0.03,836.00,0.00,6.00
1488425090,1.59,20,0.03,916.00,0.00,6.00
1488425091,1.37,4,0.03,2868.00,0.00,19.00
1488425092,1.59,1,0.03,200.00,0.00,0.00
1488425093,1.32,17,0.03,1652.00,0.00,12.00
1488425094,1.62,5,0.03,1408.00,0.00,5.00
1488425095,1.59,6,0.03,232.00,0.00,2.00
1488425096,1.48,16,0.03,2076.00,0.00,28.00
1488425097,1.45,8,0.03,212.00,0.00,2.00
1488425098,1.48,16,0.04,4172.00,0.00,32.00
1488425099,1.39,16,0.04,2728.00,0.00,17.00
1488425100,1.59,1,0.04,416.00,0.00,2.00
1488425101,1.64,1,0.04,120.00,0.00,1.00
1488425102,1.46,1,0.04,1232.00,0.00,9.00
1488425103,1.89,0,0.20,284.00,0.00,2.00
1488425104,2.14,0,0.20,0.00,0.00,3.00
1488425105,2.09,17,0.20,4.00,0.00,1.00
1488425106,1.98,19,0.21,16.00,0.00,1.00
1488425107,2.00,18,0.21,12.00,0.00,0.00
1488425108,1.93,18,0.21,4.00,0.00,0.00
1488425109,1.98,17,0.21,16.00,0.00,0.00
1488425110,1.98,20,0.21,12.00,0.00,0.00
1488425111,1.96,20,0.22,0.00,0.00,0.00
1488425112,2.02,20,0.22,0.00,0.00,1.00
1488425113,2.02,20,0.22,0.00,0.00,0.00
1488425114,2.02,17,0.22,0.00,0.00,1.00
1488425115,2.00,17,0.22,16.00,0.00,0.00
1488425116,2.09,16,0.22,12.00,0.00,1.00
1488425117,2.20,18,0.22,8.00,0.00,0.00
1488425118,2.16,16,0.23,16.00,0.00,1.00
1488425119,2.00,17,0.23,12.00,0.00,0.00
1488425120,2.05,18,0.23,24.00,0.00,0.00
1488425121,2.16,0,0.23,12.00,0.00,2.00
1488425122,2.18,0,0.23,8.00,0.00,1.00
1488425123,2.11,0,0.23,16.00,0.00,1.00
1488425124,2.25,0,0.23,0.00,0.00,2.00
1488425125,1.98,18,0.23,12.00,0.00,1.00
1488425126,2.02,16,0.24,16.00,0.00,0.00
1488425127,2.02,2,0.24,8.00,0.00,1.00
1488425128,2.00,20,0.24,44.00,0.00,0.00
1488425129,2.25,20,0.24,0.00,0.00,1.00
1488425130,2.11,20,0.24,0.00,0.00,0.00
1488425131,2.00,20,0.24,0.00,0.00,1.00
1488425132,1.96,20,0.24,0.00,0.00,0.00
1488425133,2.00,20,0.25,0.00,0.00,0.00
1488425134,2.05,20,0.25,0.00,0.00,0.00
1488425135,2.02,20,0.25,0.00,0.00,1.00
1488425136,2.02,20,0.25,0.00,0.00,0.00
1488425137,2.00,20,0.25,0.00,0.00,1.00
1488425138,2.02,20,0.26,0.00,0.00,1.00
1488425139,2.16,21,0.26,0.00,0.00,1.00
1488425140,2.14,21,0.26,0.00,0.00,1.00
1488425141,2.02,21,0.26,0.00,0.00,1.00
1488425142,2.09,0,0.26,0.00,0.00,1.00
1488425143,2.25,0,0.26,0.00,0.00,3.00
1488425144,2.05,17,0.26,4.00,0.00,0.00
1488425145,1.98,16,0.27,24.00,0.00,0.00
1488425146,2.02,16,0.27,12.00,0.00,0.00
1488425147,2.00,16,0.27,32.00,0.00,0.00
1488425148,1.98,20,0.27,12.00,0.00,0.00
1488425149,2.07,17,0.27,20.00,0.00,0.00
1488425150,1.98,18,0.27,20.00,0.00,0.00
1488425151,2.02,18,0.27,28.00,0.00,0.00
1488425152,2.05,16,0.28,12.00,0.00,0.00
1488425153,2.30,16,0.28,0.00,2308.00,0.00
1488425154,2.25,16,0.28,0.00,3064.00,32.00
1488425155,2.27,16,0.28,0.00,3144.00,15.00
1488425156,2.30,16,0.28,0.00,1736.00,0.00
1488425157,2.27,16,0.28,0.00,0.00,0.00
1488425158,2.25,16,0.28,0.00,1000.00,36.00
