Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425019,1.32,16,0.00,1556.00,0.00,16.00
1488425020,1.32,17,0.01,1156.00,0.00,6.00
1488425021,1.23,18,0.01,2460.00,0.00,24.00
1488425022,1.32,0,0.01,876.00,0.00,6.00
1488425023,1.30,16,0.01,1172.00,0.00,13.00
1488425024,1.30,16,0.01,1904.00,0.00,22.00
1488425025,1.18,17,0.01,6160.00,0.00,39.00
1488425026,1.23,16,0.01,1160.00,0.00,8.00
1488425027,1.30,16,0.01,4328.00,0.00,56.00
1488425028,1.36,1,0.01,1588.00,0.00,21.00
1488425029,1.23,0,0.01,816.00,0.00,7.00
1488425030,1.21,16,0.01,3620.00,0.00,25.00
1488425031,1.30,16,0.01,4844.00,0.00,43.00
1488425032,1.21,16,0.01,2304.00,0.00,22.00
1488425033,1.23,18,0.01,1388.00,0.00,21.00
1488425034,1.32,16,0.01,3916.00,0.00,38.00
1488425035,1.30,17,0.01,2292.00,0.00,15.00
1488425036,1.23,17,0.02,2540.00,0.00,24.00
1488425037,1.30,17,0.02,1000.00,0.00,12.00
1488425038,1.25,0,0.02,1700.00,0.00,22.00
1488425039,1.25,16,0.02,3984.00,0.00,27.00
1488425040,1.20,17,0.02,2880.00,0.00,45.00
1488425041,1.34,16,0.02,2748.00,0.00,31.00
1488425042,1.18,16,0.02,4216.00,0.00,29.00
1488425043,1.30,17,0.02,3004.00,0.00,30.00
1488425044,1.14,17,0.02,3604.00,0.00,35.00
1488425045,1.23,17,0.02,1468.00,0.00,13.00
1488425046,1.30,17,0.02,2432.00,0.00,19.00
1488425047,1.32,16,0.02,1408.00,0.00,7.00
1488425048,1.21,16,0.02,3400.00,0.00,22.00
1488425049,1.23,16,0.02,2740.00,0.00,43.00
1488425050,1.25,16,0.02,1528.00,0.00,22.00
1488425051,1.27,17,0.03,1664.00,0.00,32.00
1488425052,1.25,16,0.03,2376.00,0.00,34.00
1488425053,1.27,0,0.03,2884.00,0.00,14.00
1488425054,1.32,0,0.03,1240.00,0.00,15.00
1488425055,1.34,17,0.03,1620.00,0.00,11.00
1488425056,1.16,17,0.03,2920.00,0.00,42.00
1488425057,1.21,16,0.03,3384.00,0.00,30.00
1488425058,1.21,17,0.03,1816.00,0.00,21.00
1488425059,1.30,18,0.03,2572.00,0.00,18.00
1488425060,1.30,17,0.03,2016.00,0.00,22.00
1488425061,1.32,18,0.03,3588.00,0.00,28.00
1488425062,1.32,16,0.03,3404.00,0.00,20.00
1488425063,1.25,18,0.03,3700.00,0.00,32.00
1488425064,1.16,19,0.03,2284.00,0.00,16.00
1488425065,1.23,17,0.03,6776.00,0.00,49.00
1488425066,1.23,17,0.04,2164.00,0.00,8.00
1488425067,1.32,0,0.04,1560.00,0.00,27.00
1488425068,1.32,16,0.04,4032.00,0.00,28.00
1488425069,1.27,0,0.04,2620.00,0.00,33.00
1488425070,1.34,17,0.04,1460.00,0.00,17.00
1488425071,1.25,16,0.04,2284.00,0.00,30.00
