Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488413975,1.32,16,0.00,12904.00,0.00,120.00
1488413976,1.34,16,0.01,15196.00,0.00,142.00
1488413977,1.36,16,0.01,15284.00,0.00,145.00
1488413978,1.36,16,0.01,14692.00,0.00,135.00
1488413979,1.41,16,0.01,13900.00,0.00,128.00
1488413980,1.30,16,0.01,14832.00,0.00,143.00
1488413981,1.43,16,0.01,15876.00,0.00,144.00
1488413982,1.39,16,0.01,13924.00,0.00,134.00
1488413983,1.34,16,0.01,15388.00,0.00,145.00
1488413984,1.41,16,0.01,16524.00,0.00,151.00
1488413985,1.32,16,0.01,15284.00,0.00,141.00
1488413986,1.39,16,0.01,15556.00,0.00,149.00
1488413987,1.32,16,0.01,15652.00,0.00,147.00
1488413988,1.39,16,0.02,14260.00,0.00,131.00
1488413989,1.30,16,0.02,15336.00,0.00,146.00
1488413990,1.34,16,0.02,15312.00,0.00,145.00
1488413991,1.30,16,0.02,14608.00,0.00,130.00
1488413992,1.32,16,0.02,14664.00,0.00,145.00
1488413993,1.32,16,0.02,15996.00,0.00,149.00
1488413994,1.36,16,0.02,14756.00,0.00,144.00
1488413995,1.34,16,0.02,15476.00,0.00,145.00
1488413996,1.27,16,0.02,14548.00,0.00,135.00
1488413997,1.32,16,0.02,14584.00,0.00,144.00
1488413998,1.27,16,0.02,14740.00,0.00,140.00
1488413999,1.34,16,0.02,14352.00,0.00,137.00
1488414000,1.32,16,0.02,14172.00,0.00,138.00
1488414001,1.02,16,0.02,10364.00,0.00,91.00
1488414002,1.30,16,0.02,14596.00,0.00,137.00
1488414003,1.30,16,0.03,14648.00,0.00,143.00
1488414004,1.36,16,0.03,14632.00,0.00,140.00
1488414005,1.27,16,0.03,14724.00,0.00,138.00
1488414006,1.39,16,0.03,14444.00,0.00,135.00
1488414007,1.27,16,0.03,15060.00,0.00,144.00
1488414008,1.36,16,0.03,14848.00,0.00,137.00
1488414009,1.39,16,0.03,15312.00,0.00,148.00
1488414010,1.32,16,0.03,15200.00,0.00,146.00
1488414011,1.34,16,0.03,15424.00,0.00,145.00
1488414012,1.41,16,0.03,15208.00,0.00,144.00
1488414013,1.41,16,0.03,14100.00,0.00,134.00
1488414014,1.34,16,0.03,14716.00,0.00,139.00
1488414015,1.48,16,0.04,15804.00,0.00,150.00
1488414016,1.27,17,0.04,14800.00,0.00,138.00
1488414017,1.39,16,0.04,14988.00,0.00,139.00
1488414018,1.32,16,0.04,15860.00,0.00,146.00
1488414019,1.39,16,0.04,15308.00,0.00,142.00
1488414020,1.36,16,0.04,15336.00,0.00,142.00
1488414021,0.86,16,0.20,2252.00,28.00,21.00
1488414022,2.05,16,0.20,88.00,0.00,0.00
1488414023,1.98,16,0.21,108.00,0.00,0.00
1488414024,1.98,16,0.21,112.00,0.00,0.00
1488414025,1.93,16,0.21,108.00,0.00,0.00
1488414026,1.93,16,0.21,112.00,0.00,5.00
1488414027,1.91,16,0.21,104.00,0.00,0.00
1488414028,1.95,16,0.22,112.00,0.00,0.00
1488414029,1.93,16,0.22,108.00,0.00,1.00
1488414030,1.98,16,0.22,108.00,0.00,0.00
1488414031,1.93,16,0.22,108.00,0.00,1.00
1488414032,1.91,16,0.22,112.00,0.00,0.00
1488414033,2.02,16,0.23,112.00,0.00,0.00
1488414034,1.93,16,0.23,104.00,0.00,0.00
1488414035,1.91,16,0.23,108.00,0.00,1.00
1488414036,1.89,16,0.23,104.00,0.00,0.00
1488414037,1.96,16,0.23,108.00,0.00,0.00
1488414038,1.95,16,0.24,108.00,0.00,0.00
1488414039,1.89,16,0.24,104.00,0.00,0.00
1488414040,1.96,16,0.24,108.00,0.00,0.00
1488414041,2.00,16,0.24,108.00,0.00,1.00
1488414042,1.95,16,0.25,108.00,0.00,0.00
1488414043,1.91,16,0.25,108.00,0.00,0.00
1488414044,1.98,16,0.25,108.00,0.00,0.00
1488414045,1.95,16,0.25,108.00,0.00,0.00
1488414046,1.91,16,0.25,108.00,0.00,0.00
1488414047,1.98,16,0.26,108.00,0.00,1.00
1488414048,1.89,16,0.26,104.00,0.00,0.00
1488414049,1.91,16,0.26,104.00,0.00,0.00
1488414050,1.93,16,0.26,108.00,0.00,0.00
1488414051,1.91,16,0.26,104.00,0.00,0.00
1488414052,2.00,16,0.27,112.00,0.00,0.00
1488414053,1.89,16,0.27,104.00,0.00,1.00
1488414054,1.89,16,0.27,104.00,0.00,0.00
