Time,%CPU,CPU,%MEM,kB_rd/s,kB_wr/s,nvcswch/s
1488425389,1.29,17,0.00,6056.00,0.00,66.00
1488425390,1.27,16,0.01,7356.00,0.00,64.00
1488425391,1.34,17,0.01,6160.00,0.00,94.00
1488425392,1.32,17,0.01,4488.00,0.00,80.00
1488425393,1.43,16,0.01,4256.00,0.00,91.00
1488425394,1.34,17,0.01,7212.00,0.00,70.00
1488425395,1.39,16,0.01,5340.00,0.00,83.00
1488425396,1.34,17,0.01,6748.00,0.00,69.00
1488425397,1.32,17,0.01,4968.00,0.00,71.00
1488425398,1.39,17,0.01,4744.00,0.00,57.00
1488425399,1.36,16,0.01,7488.00,0.00,79.00
1488425400,1.32,17,0.01,7504.00,0.00,62.00
1488425401,1.32,17,0.01,6468.00,0.00,51.00
1488425402,0.93,17,0.02,4836.00,0.00,58.00
1488425403,1.39,17,0.02,5596.04,0.00,63.37
1488425404,1.32,17,0.02,6444.00,0.00,59.00
1488425405,1.32,17,0.02,6992.00,0.00,66.00
1488425406,1.32,16,0.02,5408.00,0.00,49.00
1488425407,1.20,16,0.02,7552.00,0.00,53.00
1488425408,1.30,17,0.02,5088.00,0.00,66.00
1488425409,1.27,17,0.02,6012.00,0.00,62.00
1488425410,1.45,17,0.02,6544.00,0.00,63.00
1488425411,1.32,16,0.02,6356.00,0.00,56.00
1488425412,1.39,17,0.02,6040.00,0.00,59.00
1488425413,1.27,17,0.02,6064.00,0.00,55.00
1488425414,1.34,16,0.02,6868.00,0.00,47.00
1488425415,1.32,16,0.03,5980.00,0.00,80.00
1488425416,1.34,17,0.02,6696.00,0.00,62.00
1488425417,1.30,17,0.03,6580.00,0.00,63.00
1488425418,1.39,17,0.03,6312.00,0.00,63.00
1488425419,1.34,17,0.03,8128.00,0.00,66.00
1488425420,1.41,16,0.03,5680.00,0.00,73.00
1488425421,1.20,17,0.03,5280.00,0.00,81.00
1488425422,1.32,17,0.03,5772.00,0.00,80.00
1488425423,1.39,17,0.03,7300.00,0.00,54.00
1488425424,1.41,17,0.03,6200.00,0.00,80.00
1488425425,1.39,16,0.03,6360.00,0.00,64.00
1488425426,1.45,17,0.03,7612.00,0.00,72.00
1488425427,1.27,17,0.03,7516.00,0.00,55.00
1488425428,1.45,16,0.04,6940.00,0.00,72.00
1488425429,1.39,16,0.04,8160.00,0.00,82.00
1488425430,1.39,16,0.04,6100.00,0.00,83.00
1488425431,1.48,17,0.04,7972.00,0.00,79.00
1488425432,1.00,16,0.04,7976.00,0.00,77.00
1488425433,0.84,19,0.08,6156.00,0.00,61.00
1488425434,2.05,19,0.20,4.00,4.00,0.00
1488425435,2.09,16,0.20,64.00,0.00,0.00
1488425436,1.93,17,0.21,76.00,0.00,0.00
1488425437,1.98,16,0.21,52.00,0.00,0.00
1488425438,1.95,16,0.21,44.00,0.00,0.00
1488425439,1.91,16,0.21,40.00,0.00,4.00
1488425440,1.98,16,0.21,40.00,0.00,0.00
1488425441,1.96,17,0.22,40.00,0.00,0.00
1488425442,2.00,16,0.22,48.00,0.00,0.00
1488425443,2.00,16,0.22,48.00,0.00,0.00
1488425444,1.91,17,0.22,48.00,0.00,0.00
1488425445,1.98,16,0.23,60.00,0.00,0.00
1488425446,1.95,17,0.23,52.00,0.00,0.00
1488425447,1.98,17,0.23,56.00,0.00,0.00
1488425448,1.93,17,0.23,44.00,0.00,0.00
1488425449,1.98,17,0.23,48.00,0.00,0.00
1488425450,1.91,16,0.23,56.00,0.00,0.00
1488425451,1.93,16,0.24,48.00,0.00,2.00
1488425452,1.91,17,0.24,48.00,0.00,0.00
